Title,Link,Date,Source,Summary,Term,LanguageQueried
Cyclone Ditwah: Kerala braces for heavy rainfall - The South First,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNVktyWU9zNXRqNVM0MUlveGlHQ21OOFZTaWp5ek8ydTdDR003R1lJOER6UWRNZG5hR1pTV0Nqa0FQT1J6U3lHa3h6RHNGZFVyTEFjeWgwTGpXeC1aOUh0SEptYmZDalFzQk5JMk1fbTl5ZDNXZWw3cUlvblp1eGJ4Y3NpZWNpWmd2?oc=5,2025-11-29 10:15:07,The South First,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNVktyWU9zNXRqNVM0MUlveGlHQ21OOFZTaWp5ek8ydTdDR003R1lJOER6UWRNZG5hR1pTV0Nqa0FQT1J6U3lHa3h6RHNGZFVyTEFjeWgwTGpXeC1aOUh0SEptYmZDalFzQk5JMk1fbTl5ZDNXZWw3cUlvblp1eGJ4Y3NpZWNpWmd2?oc=5"" target=""_blank"">Cyclone Ditwah: Kerala braces for heavy rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The South First</font>",Disaster,en
Lakshadweep first UT to complete SIR - Times of India,https://news.google.com/rss/articles/CBMiswFBVV95cUxQUjE1WHg3cEl4d3QxOWtjT3N3M2lLbWhOYzl1a0tORzNTczlCNjZudkZLTTVEYXpqblZlWnd4Nm5Ed2hrMVhuZVd3V3VlZzZmbVVlejc3SnlSczNPalBaY0JZTWRuZklvUVcwTG95NXdZSENocXZ2WTlYOENjdW1VR3RtcGQtSllzb2trODlOZFl6Y1ROQlFFOXZIdnNxai1vb1F0eVJIRW5IdXlCdXROT1hTa9IBswFBVV95cUxQUjE1WHg3cEl4d3QxOWtjT3N3M2lLbWhOYzl1a0tORzNTczlCNjZudkZLTTVEYXpqblZlWnd4Nm5Ed2hrMVhuZVd3V3VlZzZmbVVlejc3SnlSczNPalBaY0JZTWRuZklvUVcwTG95NXdZSENocXZ2WTlYOENjdW1VR3RtcGQtSllzb2trODlOZFl6Y1ROQlFFOXZIdnNxai1vb1F0eVJIRW5IdXlCdXROT1hTaw?oc=5,2025-11-28 23:16:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQUjE1WHg3cEl4d3QxOWtjT3N3M2lLbWhOYzl1a0tORzNTczlCNjZudkZLTTVEYXpqblZlWnd4Nm5Ed2hrMVhuZVd3V3VlZzZmbVVlejc3SnlSczNPalBaY0JZTWRuZklvUVcwTG95NXdZSENocXZ2WTlYOENjdW1VR3RtcGQtSllzb2trODlOZFl6Y1ROQlFFOXZIdnNxai1vb1F0eVJIRW5IdXlCdXROT1hTa9IBswFBVV95cUxQUjE1WHg3cEl4d3QxOWtjT3N3M2lLbWhOYzl1a0tORzNTczlCNjZudkZLTTVEYXpqblZlWnd4Nm5Ed2hrMVhuZVd3V3VlZzZmbVVlejc3SnlSczNPalBaY0JZTWRuZklvUVcwTG95NXdZSENocXZ2WTlYOENjdW1VR3RtcGQtSllzb2trODlOZFl6Y1ROQlFFOXZIdnNxai1vb1F0eVJIRW5IdXlCdXROT1hTaw?oc=5"" target=""_blank"">Lakshadweep first UT to complete SIR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone Ditwah moving towards Tamil Nadu, landfall in 48 hours, state on alert - India Today",https://news.google.com/rss/articles/CBMi0wFBVV95cUxNQUdRXzRoY2dsSGdkdHphX0Zvc3Y3eDlaZWFtOWdNeUIwcjZ4UTQ1aHB2c1ZwdkFMS1U1MXNPTEhfTC1sdUJvSE9heVdaeU5iaVpQMHhCaXJ6X1g5aVJqR1BfejE2Z3VwaG85S29CbDc1VXpRM0E4TmRKNVNWemVjMVZkOWQ2V2JqRWN1WWprZ2Foa1lrSl9pVG5aWm1McVF0SVI1UjB4QUxlVkpSb0FLZFR3dWpwQW96aXMyanAwMzJBekFLNWhxN1o2bnhJVHBreC1j0gHYAUFVX3lxTE5IQTQ5bkRjbk5kbHZQQjA3ckRuOHk1ZzBzWHFnektjTmZQNXFNNlhkZEZ2eWhxU0JYRktyMG9kSmQ0aDhad1U0UGhuUDRGeGJnZmhWWU9GaVVZWTM3djNCZmpsUnhuSWcyYzZnRmV3ek5kOWZvT0FxX0N6YmZCMm1wRjNsNXhXZFRjSU40Wm9WcmY2N1pOcFk2VTdWd3doOV9KcW53QXdSZ0MydW9qSFVMX2FsTXdCVENuNElIZGZocUdLVUg1TlhQUmZhSThocWJ2UlZ6V2FfUg?oc=5,2025-11-28 22:39:57,India Today,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNQUdRXzRoY2dsSGdkdHphX0Zvc3Y3eDlaZWFtOWdNeUIwcjZ4UTQ1aHB2c1ZwdkFMS1U1MXNPTEhfTC1sdUJvSE9heVdaeU5iaVpQMHhCaXJ6X1g5aVJqR1BfejE2Z3VwaG85S29CbDc1VXpRM0E4TmRKNVNWemVjMVZkOWQ2V2JqRWN1WWprZ2Foa1lrSl9pVG5aWm1McVF0SVI1UjB4QUxlVkpSb0FLZFR3dWpwQW96aXMyanAwMzJBekFLNWhxN1o2bnhJVHBreC1j0gHYAUFVX3lxTE5IQTQ5bkRjbk5kbHZQQjA3ckRuOHk1ZzBzWHFnektjTmZQNXFNNlhkZEZ2eWhxU0JYRktyMG9kSmQ0aDhad1U0UGhuUDRGeGJnZmhWWU9GaVVZWTM3djNCZmpsUnhuSWcyYzZnRmV3ek5kOWZvT0FxX0N6YmZCMm1wRjNsNXhXZFRjSU40Wm9WcmY2N1pOcFk2VTdWd3doOV9KcW53QXdSZ0MydW9qSFVMX2FsTXdCVENuNElIZGZocUdLVUg1TlhQUmZhSThocWJ2UlZ6V2FfUg?oc=5"" target=""_blank"">Cyclone Ditwah moving towards Tamil Nadu, landfall in 48 hours, state on alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Disaster,en
Cyclone Senyar Highlights: Cyclone to cross Indonesia today - The Indian Express,https://news.google.com/rss/articles/CBMiugFBVV95cUxNdnpXczRjWFMwMnNvd2NIU25ORUhMUzhZNXBHX09wX19QNFNnaTFyNDdaMjZDejNOUnZrYkxEZDdzNDB5RzdhQkZ3QXpGNVNybFJGRGhGMnZpeGhYWmEzTXZBSmVUcWlqanNjOWh0Qlo2c3AwOGxSZlBYRUhBcDZpQlVJOG5zb2RuNENyTThNbjRBZTJPbzVMWVRpbWJ2SWpPR185QU5MdjVvTWQ0QWxPYVQtRW9kNG5lWGfSAcABQVVfeXFMT1Bpd3hwdG96d1lXRzAwNmhYcm9BeFkteXU0M282d3NiSVJyM3A5TjQyRDQ3dDY1RHpWUW9MTjdncktIemNVMGQxYnNKNkM5bmhac1pvUFp2Q1F2VWxUZG1rM293TmlvRUVPS3V4bFlvS3JhenZmclk2NGpjSXhpWHViQnJtV1ZpejFRU2NIdUI5Sjl4RVhyNmp2di1maFkzWmFVN0FGLTFORFVHek12Y0RtSjV4a0NXWmZQNUprem1o?oc=5,2025-11-28 12:10:35,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNdnpXczRjWFMwMnNvd2NIU25ORUhMUzhZNXBHX09wX19QNFNnaTFyNDdaMjZDejNOUnZrYkxEZDdzNDB5RzdhQkZ3QXpGNVNybFJGRGhGMnZpeGhYWmEzTXZBSmVUcWlqanNjOWh0Qlo2c3AwOGxSZlBYRUhBcDZpQlVJOG5zb2RuNENyTThNbjRBZTJPbzVMWVRpbWJ2SWpPR185QU5MdjVvTWQ0QWxPYVQtRW9kNG5lWGfSAcABQVVfeXFMT1Bpd3hwdG96d1lXRzAwNmhYcm9BeFkteXU0M282d3NiSVJyM3A5TjQyRDQ3dDY1RHpWUW9MTjdncktIemNVMGQxYnNKNkM5bmhac1pvUFp2Q1F2VWxUZG1rM293TmlvRUVPS3V4bFlvS3JhenZmclk2NGpjSXhpWHViQnJtV1ZpejFRU2NIdUI5Sjl4RVhyNmp2di1maFkzWmFVN0FGLTFORFVHek12Y0RtSjV4a0NXWmZQNUprem1o?oc=5"" target=""_blank"">Cyclone Senyar Highlights: Cyclone to cross Indonesia today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
Cyclone Ditwah Kills 45 In Sri Lanka Will The Storm Hit India Next? Here's How It Will Impact Bengal - ABP Live English,https://news.google.com/rss/articles/CBMiggFBVV95cUxOai1KdXREdEpSN1hXWUFPaEFBZGlpTnl3LXU2c2xPS2hOT2xfMkdMQTBrcjN0SXA0S1NFWmdVUnkxY2EtWThKUHRxVXBMOGM3RXRCZmc3Q0xJN2hqWGkybGU3ZW80VjU3VENRNlgyYVYzTEtiLVVncmVTWHpyeEx3SUNR0gGHAUFVX3lxTE1KY3l6OGhFNWVqRGRrOUlaM0VHcUY2Wm5aVFp4V3doWWN6RmhzdlV4M2hvUnV6RDdrTnA1QmRfSl92QWNPV0R1ZHYzdGFUMEFhcVY4aDZ0UTFoQU1lMG5JM1dmZmlKNXJQR1FUVFR4RUMyLXZJSFhQVm1SdDgyQUZXb18tZERfaw?oc=5,2025-11-28 17:43:14,ABP Live English,"<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxOai1KdXREdEpSN1hXWUFPaEFBZGlpTnl3LXU2c2xPS2hOT2xfMkdMQTBrcjN0SXA0S1NFWmdVUnkxY2EtWThKUHRxVXBMOGM3RXRCZmc3Q0xJN2hqWGkybGU3ZW80VjU3VENRNlgyYVYzTEtiLVVncmVTWHpyeEx3SUNR0gGHAUFVX3lxTE1KY3l6OGhFNWVqRGRrOUlaM0VHcUY2Wm5aVFp4V3doWWN6RmhzdlV4M2hvUnV6RDdrTnA1QmRfSl92QWNPV0R1ZHYzdGFUMEFhcVY4aDZ0UTFoQU1lMG5JM1dmZmlKNXJQR1FUVFR4RUMyLXZJSFhQVm1SdDgyQUZXb18tZERfaw?oc=5"" target=""_blank"">Cyclone Ditwah Kills 45 In Sri Lanka Will The Storm Hit India Next? Here's How It Will Impact Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Live English</font>",Disaster,en
"Isro satellite shows Cyclone Ditwah barrelling into Sri Lanka, India on standby - India Today",https://news.google.com/rss/articles/CBMi0wFBVV95cUxPN1ZLNFdRZk1fMmpXWkx5YkdWUUsyckVhNllHYlZLNFJCRWFuT19uSUN5YmxXS1prUEt0akwzQjlFSWMxWHN2cDh4RjA5bXhZeEdzQXB5bjRBZlZyV3I0cnR3U3ZBRE1XMndRclcwdFBXVl9TclV6dDljMXN6OG00TXpTdWVIQmVPUU5FVVlTMlAxcVFIYlhrY3pBci0yTGUzeFZabVU0VTVxMUd1dE1ja1NDX0JOTGF5RFRtRDdQaGp5LW1WZndtSEVFZVI3UE1DUndZ0gHYAUFVX3lxTE9ZMGpQNnBHX2xtYzB0RktIMUFQWnVYRHliZGttVmFYLXBENF9pVUFVcXc2QjJEUnNkUFlkVFdrdVpKTERleDF4WXR1S3BGZ3ZMU29NWmpoazVZbWRQeENLbWpZZUZCR0hqRXhfcmNGWU9NeTRHQkdrQ3hpemFheVFRTHpaeWJCR0F1MUlNRGdEM01CcTMzaHhuZzRmVlE5ZzIyS2VzMW5YTkhoVC0yai1FZzJvVXpsc1RBVUozbkpNWjA1eGhnMjVOMXFUV2xkbkZaRG9RLW11NA?oc=5,2025-11-28 15:19:08,India Today,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPN1ZLNFdRZk1fMmpXWkx5YkdWUUsyckVhNllHYlZLNFJCRWFuT19uSUN5YmxXS1prUEt0akwzQjlFSWMxWHN2cDh4RjA5bXhZeEdzQXB5bjRBZlZyV3I0cnR3U3ZBRE1XMndRclcwdFBXVl9TclV6dDljMXN6OG00TXpTdWVIQmVPUU5FVVlTMlAxcVFIYlhrY3pBci0yTGUzeFZabVU0VTVxMUd1dE1ja1NDX0JOTGF5RFRtRDdQaGp5LW1WZndtSEVFZVI3UE1DUndZ0gHYAUFVX3lxTE9ZMGpQNnBHX2xtYzB0RktIMUFQWnVYRHliZGttVmFYLXBENF9pVUFVcXc2QjJEUnNkUFlkVFdrdVpKTERleDF4WXR1S3BGZ3ZMU29NWmpoazVZbWRQeENLbWpZZUZCR0hqRXhfcmNGWU9NeTRHQkdrQ3hpemFheVFRTHpaeWJCR0F1MUlNRGdEM01CcTMzaHhuZzRmVlE5ZzIyS2VzMW5YTkhoVC0yai1FZzJvVXpsc1RBVUozbkpNWjA1eGhnMjVOMXFUV2xkbkZaRG9RLW11NA?oc=5"" target=""_blank"">Isro satellite shows Cyclone Ditwah barrelling into Sri Lanka, India on standby</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Disaster,en
"IMD issues yellow alert in five Kerala districts, warns of rough sea conditions - Times of India",https://news.google.com/rss/articles/CBMi6wFBVV95cUxOVG45bkVIb2tMcWVMcVVyRE9uTk5HYnh4cG5PWXBUNnJTTmdXdncyRmU3TWpISkxoOXBkSUhXUVlaU2pfZ2pfNDV3OE1uQnZqbGNtdDB6QTVIbjlFTTZxX3IzaUY0YVpUMmpoOVljdGdkMVhnVW1sS01tcjlUVG1sZGFyMmZqZzY3QnBiWnpjN1p3c1BlVlY5RHVBQTQ1STVubkliZjJPTld6cFpib0g4THRmUDBhdDVwZnhyUlc5bk4wbUROdlJtTklwS0w4d3RRSlFGeWxKX2YxWjZpRENxbXVUX0NjbnR4WVNR0gHrAUFVX3lxTE5UbjluRUhva0xxZUxxVXJET25OTkdieHhwbk9ZcFQ2clNOZ1d2dzJGZTdNakhKTGg5cGRJSFdRWVpTal9nal80NXc4TW5CdmpsY210MHpBNUhuOUVNNnFfcjNpRjRhWlQyamg5WWN0Z2QxWGdVbWxLTW1yOVRUbWxkYXIyZmpnNjdCcGJaemM3WndzUGVWVjlEdUFBNDVJNW5uSWJmMk9OV3pwWmJvSDhMdGZQMGF0NXBmeHJSVzluTjBtRE52Um1OSXBLTDh3dFFKUUZ5bEpfZjFaNmlEQ3FtdVRfQ2NudHhZU1E?oc=5,2025-11-29 00:23:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxOVG45bkVIb2tMcWVMcVVyRE9uTk5HYnh4cG5PWXBUNnJTTmdXdncyRmU3TWpISkxoOXBkSUhXUVlaU2pfZ2pfNDV3OE1uQnZqbGNtdDB6QTVIbjlFTTZxX3IzaUY0YVpUMmpoOVljdGdkMVhnVW1sS01tcjlUVG1sZGFyMmZqZzY3QnBiWnpjN1p3c1BlVlY5RHVBQTQ1STVubkliZjJPTld6cFpib0g4THRmUDBhdDVwZnhyUlc5bk4wbUROdlJtTklwS0w4d3RRSlFGeWxKX2YxWjZpRENxbXVUX0NjbnR4WVNR0gHrAUFVX3lxTE5UbjluRUhva0xxZUxxVXJET25OTkdieHhwbk9ZcFQ2clNOZ1d2dzJGZTdNakhKTGg5cGRJSFdRWVpTal9nal80NXc4TW5CdmpsY210MHpBNUhuOUVNNnFfcjNpRjRhWlQyamg5WWN0Z2QxWGdVbWxLTW1yOVRUbWxkYXIyZmpnNjdCcGJaemM3WndzUGVWVjlEdUFBNDVJNW5uSWJmMk9OV3pwWmJvSDhMdGZQMGF0NXBmeHJSVzluTjBtRE52Um1OSXBLTDh3dFFKUUZ5bEpfZjFaNmlEQ3FtdVRfQ2NudHhZU1E?oc=5"" target=""_blank"">IMD issues yellow alert in five Kerala districts, warns of rough sea conditions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone Ditwah: Warnings, Alerts and Rescue Teams in Place as Storm Nears Landfall - Asianet Newsable",https://news.google.com/rss/articles/CBMi1gFBVV95cUxOY25GeTgxYjRkT3BKSmJPVjBGRlVNZTQwOWI3Y2FVTzVoa1JRLVpvZW1wdVNvSi1kbkxvc25VVjJVY1B1d2Zma2Vndk5YbUlPR2t4ZC1rU2QtcWd4VF9BRHB1UWNId2d2RWo5SExwdmN5QXFOMndHOTI0aVZhUnp5Y2Npb2dkc05vZlpDNEs5TVhWOTdscmtCYzh3NjNobjR6aGV5T3p2Y19rOWtHdGhSNG9jU1lLdi0wYjJxNl9PLW40OFZpU3J1dXdrc2hLYkFSWEY5TVBn0gHbAUFVX3lxTFAyYk9oc0hfUWRQYmdtMlFnb0dsMkd4MGEtNWNkaExRQkZPUmR1Zmh2cjB3TUt5Y24yUEN6NHVuODQ0Q2dKQWtvSW1FbHNPZ29QWm1mSDgzSFp2MnhCbjdtTmZrUkJEWXQ3dzN3eF8yaEVrOFM5WWZTTG0teTRxdEVKMmtTQU41aHdXTktkc293R1U1ejNsRW9RXzVLRW13eUc5ZDZ4cDByTlpMN2g2ZHJuLXQ2Xy11cUxsd2VrTk5kZmtpdDVXbUx6djRrZHMweXpMMWUxM0ktQjFGNA?oc=5,2025-11-28 10:46:06,Asianet Newsable,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOY25GeTgxYjRkT3BKSmJPVjBGRlVNZTQwOWI3Y2FVTzVoa1JRLVpvZW1wdVNvSi1kbkxvc25VVjJVY1B1d2Zma2Vndk5YbUlPR2t4ZC1rU2QtcWd4VF9BRHB1UWNId2d2RWo5SExwdmN5QXFOMndHOTI0aVZhUnp5Y2Npb2dkc05vZlpDNEs5TVhWOTdscmtCYzh3NjNobjR6aGV5T3p2Y19rOWtHdGhSNG9jU1lLdi0wYjJxNl9PLW40OFZpU3J1dXdrc2hLYkFSWEY5TVBn0gHbAUFVX3lxTFAyYk9oc0hfUWRQYmdtMlFnb0dsMkd4MGEtNWNkaExRQkZPUmR1Zmh2cjB3TUt5Y24yUEN6NHVuODQ0Q2dKQWtvSW1FbHNPZ29QWm1mSDgzSFp2MnhCbjdtTmZrUkJEWXQ3dzN3eF8yaEVrOFM5WWZTTG0teTRxdEVKMmtTQU41aHdXTktkc293R1U1ejNsRW9RXzVLRW13eUc5ZDZ4cDByTlpMN2g2ZHJuLXQ2Xy11cUxsd2VrTk5kZmtpdDVXbUx6djRrZHMweXpMMWUxM0ktQjFGNA?oc=5"" target=""_blank"">Cyclone Ditwah: Warnings, Alerts and Rescue Teams in Place as Storm Nears Landfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet Newsable</font>",Disaster,en
Cyclone Ditwah: Kerala braces for heavy rainfall - The South First,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNVktyWU9zNXRqNVM0MUlveGlHQ21OOFZTaWp5ek8ydTdDR003R1lJOER6UWRNZG5hR1pTV0Nqa0FQT1J6U3lHa3h6RHNGZFVyTEFjeWgwTGpXeC1aOUh0SEptYmZDalFzQk5JMk1fbTl5ZDNXZWw3cUlvblp1eGJ4Y3NpZWNpWmd2?oc=5,2025-11-29 10:15:07,The South First,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNVktyWU9zNXRqNVM0MUlveGlHQ21OOFZTaWp5ek8ydTdDR003R1lJOER6UWRNZG5hR1pTV0Nqa0FQT1J6U3lHa3h6RHNGZFVyTEFjeWgwTGpXeC1aOUh0SEptYmZDalFzQk5JMk1fbTl5ZDNXZWw3cUlvblp1eGJ4Y3NpZWNpWmd2?oc=5"" target=""_blank"">Cyclone Ditwah: Kerala braces for heavy rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The South First</font>",Disaster,en
Lakshadweep first UT to complete SIR - Times of India,https://news.google.com/rss/articles/CBMiswFBVV95cUxQUjE1WHg3cEl4d3QxOWtjT3N3M2lLbWhOYzl1a0tORzNTczlCNjZudkZLTTVEYXpqblZlWnd4Nm5Ed2hrMVhuZVd3V3VlZzZmbVVlejc3SnlSczNPalBaY0JZTWRuZklvUVcwTG95NXdZSENocXZ2WTlYOENjdW1VR3RtcGQtSllzb2trODlOZFl6Y1ROQlFFOXZIdnNxai1vb1F0eVJIRW5IdXlCdXROT1hTa9IBswFBVV95cUxQUjE1WHg3cEl4d3QxOWtjT3N3M2lLbWhOYzl1a0tORzNTczlCNjZudkZLTTVEYXpqblZlWnd4Nm5Ed2hrMVhuZVd3V3VlZzZmbVVlejc3SnlSczNPalBaY0JZTWRuZklvUVcwTG95NXdZSENocXZ2WTlYOENjdW1VR3RtcGQtSllzb2trODlOZFl6Y1ROQlFFOXZIdnNxai1vb1F0eVJIRW5IdXlCdXROT1hTaw?oc=5,2025-11-28 23:16:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQUjE1WHg3cEl4d3QxOWtjT3N3M2lLbWhOYzl1a0tORzNTczlCNjZudkZLTTVEYXpqblZlWnd4Nm5Ed2hrMVhuZVd3V3VlZzZmbVVlejc3SnlSczNPalBaY0JZTWRuZklvUVcwTG95NXdZSENocXZ2WTlYOENjdW1VR3RtcGQtSllzb2trODlOZFl6Y1ROQlFFOXZIdnNxai1vb1F0eVJIRW5IdXlCdXROT1hTa9IBswFBVV95cUxQUjE1WHg3cEl4d3QxOWtjT3N3M2lLbWhOYzl1a0tORzNTczlCNjZudkZLTTVEYXpqblZlWnd4Nm5Ed2hrMVhuZVd3V3VlZzZmbVVlejc3SnlSczNPalBaY0JZTWRuZklvUVcwTG95NXdZSENocXZ2WTlYOENjdW1VR3RtcGQtSllzb2trODlOZFl6Y1ROQlFFOXZIdnNxai1vb1F0eVJIRW5IdXlCdXROT1hTaw?oc=5"" target=""_blank"">Lakshadweep first UT to complete SIR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
