Title,Link,Date,Source,Summary,Term,LanguageQueried
"டிட்வா புயல் கரைக்கே வரல, கடலிலேயே வலுவிழந்தது- தமிழகத்தில் இன்று (டிசம்பர் 1) மழை பெய்யுமா? - Samayam Tamil",https://news.google.com/rss/articles/CBMi6gFBVV95cUxPZmpFelIzbi04YldNbVJkUGhyelNTOVMzQnQxNmFERVdlbkthQ2dMWEpXMmtmRUM3ZndQY3hEaWxEcnd4SjJjN1FSOGRZRmFyazJGYXFTNGNXLUxHdmlIaW1yOHJDTlczNlVmQ1lMbng0TnZvOUJIUFVBVFE2d19fYUVTU011dHZQWTJmQXBBZFhRTFh0N0FKNVNObUl4WGdVQUtNR05iejZfQ2FZdlEtNWV5OGxzbzIyRVlUS1REZjVaanBRVS1sWVNtQ2NKWC1iZG8wME1fWXhkaGNvcjdnQUN1S0JGX1JHbGfSAe8BQVVfeXFMUEtEOXlSSnYxY0NLQlNfQW5LYmxIeGNkV3ZXeG5TQy1SWkozUC15c0NkZlRvTHFkM05vXzlRWTZnWDkxOEFQQTBfM3JvUTJHc2JobTVoREJqTk4yeXZUT1h6eUFGU2Y0eWRZdEE0R3AyTUlwdDkxLXVTdGRmUmZVN1F1UGQ4TG9GemUxMEZfUDVNUHpQOVA2R0NqbERZeDFYWnJuWTNvM2FqQmtzcWJEd1NnRk0yWU5DaFphcDFZZHpGNk9IbXRtd045TGRwSllPNF9UYVFkdVlmSlFpaEtaUC1oM2Z3QndBaFVQY1VzZTg?oc=5,2025-12-01 06:15:28,Samayam Tamil,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPZmpFelIzbi04YldNbVJkUGhyelNTOVMzQnQxNmFERVdlbkthQ2dMWEpXMmtmRUM3ZndQY3hEaWxEcnd4SjJjN1FSOGRZRmFyazJGYXFTNGNXLUxHdmlIaW1yOHJDTlczNlVmQ1lMbng0TnZvOUJIUFVBVFE2d19fYUVTU011dHZQWTJmQXBBZFhRTFh0N0FKNVNObUl4WGdVQUtNR05iejZfQ2FZdlEtNWV5OGxzbzIyRVlUS1REZjVaanBRVS1sWVNtQ2NKWC1iZG8wME1fWXhkaGNvcjdnQUN1S0JGX1JHbGfSAe8BQVVfeXFMUEtEOXlSSnYxY0NLQlNfQW5LYmxIeGNkV3ZXeG5TQy1SWkozUC15c0NkZlRvTHFkM05vXzlRWTZnWDkxOEFQQTBfM3JvUTJHc2JobTVoREJqTk4yeXZUT1h6eUFGU2Y0eWRZdEE0R3AyTUlwdDkxLXVTdGRmUmZVN1F1UGQ4TG9GemUxMEZfUDVNUHpQOVA2R0NqbERZeDFYWnJuWTNvM2FqQmtzcWJEd1NnRk0yWU5DaFphcDFZZHpGNk9IbXRtd045TGRwSllPNF9UYVFkdVlmSlFpaEtaUC1oM2Z3QndBaFVQY1VzZTg?oc=5"" target=""_blank"">டிட்வா புயல் கரைக்கே வரல, கடலிலேயே வலுவிழந்தது- தமிழகத்தில் இன்று (டிசம்பர் 1) மழை பெய்யுமா?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Samayam Tamil</font>",Disaster,ta
Rain Update: சென்னைக்கு ஆரஞ்சு அலர்ட்; எந்தெந்த மாவட்டங்களுக்கு எச்சரிக்கை? Cyclone Ditwah Update - Vikatan,https://news.google.com/rss/articles/CBMitgFBVV95cUxPR1FCbVJNSnJGZlBDN2RheEJubjM3eTE3Rll2NFNxQ1V2MmJyNlBTNzBya194SDhwN1laeXZjcm1pLWx5eng2QjZsVThLQ0hLcXRXVnI3OEdmM0phMk1mblpmRnM4bWtEWlRwNVBtNzMyOHZScThVMG54MU53d1lPQzhaVGFabE4wUmhOaUg5SUxXcHN5UTJuLTd4NnJXbWJ5T29pQW1raFFfbDRPVmtrcjZpRjlRd9IBtgFBVV95cUxPR1FCbVJNSnJGZlBDN2RheEJubjM3eTE3Rll2NFNxQ1V2MmJyNlBTNzBya194SDhwN1laeXZjcm1pLWx5eng2QjZsVThLQ0hLcXRXVnI3OEdmM0phMk1mblpmRnM4bWtEWlRwNVBtNzMyOHZScThVMG54MU53d1lPQzhaVGFabE4wUmhOaUg5SUxXcHN5UTJuLTd4NnJXbWJ5T29pQW1raFFfbDRPVmtrcjZpRjlRdw?oc=5,2025-11-30 11:35:00,Vikatan,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPR1FCbVJNSnJGZlBDN2RheEJubjM3eTE3Rll2NFNxQ1V2MmJyNlBTNzBya194SDhwN1laeXZjcm1pLWx5eng2QjZsVThLQ0hLcXRXVnI3OEdmM0phMk1mblpmRnM4bWtEWlRwNVBtNzMyOHZScThVMG54MU53d1lPQzhaVGFabE4wUmhOaUg5SUxXcHN5UTJuLTd4NnJXbWJ5T29pQW1raFFfbDRPVmtrcjZpRjlRd9IBtgFBVV95cUxPR1FCbVJNSnJGZlBDN2RheEJubjM3eTE3Rll2NFNxQ1V2MmJyNlBTNzBya194SDhwN1laeXZjcm1pLWx5eng2QjZsVThLQ0hLcXRXVnI3OEdmM0phMk1mblpmRnM4bWtEWlRwNVBtNzMyOHZScThVMG54MU53d1lPQzhaVGFabE4wUmhOaUg5SUxXcHN5UTJuLTd4NnJXbWJ5T29pQW1raFFfbDRPVmtrcjZpRjlRdw?oc=5"" target=""_blank"">Rain Update: சென்னைக்கு ஆரஞ்சு அலர்ட்; எந்தெந்த மாவட்டங்களுக்கு எச்சரிக்கை? Cyclone Ditwah Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Vikatan</font>",Disaster,ta
Cyclone Ditwah Approaches Tamil Nadu-Puducherry Coast - News On AIR,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQaGxQTWxpUXZhNlVlM1M0VjJnNW5DYzVmWTZXNlBKaWtkZTJ5RDJwWXU1QXltcHRZUENIQUkwYmpBMjF1ZGR3bE5MSDh3dWI2WjV4WmZNaWtmTm5hdW5GcDgtV3JWb0x5enU0NDRNckNBWlZVZFFvcmhRQmJzOUxIX08wOE5vbFpwcTdr?oc=5,2025-12-01 08:14:24,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxQaGxQTWxpUXZhNlVlM1M0VjJnNW5DYzVmWTZXNlBKaWtkZTJ5RDJwWXU1QXltcHRZUENIQUkwYmpBMjF1ZGR3bE5MSDh3dWI2WjV4WmZNaWtmTm5hdW5GcDgtV3JWb0x5enU0NDRNckNBWlZVZFFvcmhRQmJzOUxIX08wOE5vbFpwcTdr?oc=5"" target=""_blank"">Cyclone Ditwah Approaches Tamil Nadu-Puducherry Coast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Disaster,en
"Cyclone Ditwah tracker highlights: Storm weakens into deep depression, 50 km away from TN-Puducherry coasts | India News - Hindustan Times",https://news.google.com/rss/articles/CBMiiAJBVV95cUxObTFTYVFvcjFpcnFtMnllZ2NaRXFrdTBzZVBGbDlQUDRPakFKSDFJbk1WeV9YZGF5Wkw4UWpGV21fMEZKTVVQSVRIRExNbUtfRDJZZmhCQ0ltN1k2eVlUbFktQU9WQnUzaWppTmhvd2UxanZlcXU1WldUNmthOUstLWpfcTFpRHRNSHY0RVlwQVBZbkV6dUZLMDRveW04ZWNKd0dDNTRvZTRHcmRPYTZkT0xOQ0ViWHVpTzM1RWp6MGhYTGo4N3Q0Nm5xQjRNZkhWQzZsdHNCbFNJMmkyeXlOeDRuVWJqUlg5X2ZoU1NFM1JCWnczUUJPa1hBSXBZVlU3TjgwblVZWmzSAY4CQVVfeXFMUE41SUV3eVpyOU9YN24xVXlueHd5NHNONDJaZ3ZIS2hIaDRXNHBLWHVKamUwbEZpYXJUTUQySllOc3Q4ZlJvbm5tQjB5cFRodDB4RndUdWwyRm5maGpIaHBPZmpFMEtub3ota1U3WnZERzMwMm5xREtkSU83NmZLNXZnRHBiRTFxQUg1eFdUMTFqUEt3VDZQYWtTZWFnVmxrWFVFTnRUUG9PQkM4a3pIaXFUU3ZWTUtBb2ttQmVueG1mVVNVdHZSS2RwSnRwWTRfREw0aHhkYWl0Z0ZoX2xhV1htdWZxTmF0YjdpbndheUxWQ0lxN2NObUlFWmJlMk5NeGx2WEh2ZDQxV1hVVmZ3?oc=5,2025-12-01 06:36:30,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMiiAJBVV95cUxObTFTYVFvcjFpcnFtMnllZ2NaRXFrdTBzZVBGbDlQUDRPakFKSDFJbk1WeV9YZGF5Wkw4UWpGV21fMEZKTVVQSVRIRExNbUtfRDJZZmhCQ0ltN1k2eVlUbFktQU9WQnUzaWppTmhvd2UxanZlcXU1WldUNmthOUstLWpfcTFpRHRNSHY0RVlwQVBZbkV6dUZLMDRveW04ZWNKd0dDNTRvZTRHcmRPYTZkT0xOQ0ViWHVpTzM1RWp6MGhYTGo4N3Q0Nm5xQjRNZkhWQzZsdHNCbFNJMmkyeXlOeDRuVWJqUlg5X2ZoU1NFM1JCWnczUUJPa1hBSXBZVlU3TjgwblVZWmzSAY4CQVVfeXFMUE41SUV3eVpyOU9YN24xVXlueHd5NHNONDJaZ3ZIS2hIaDRXNHBLWHVKamUwbEZpYXJUTUQySllOc3Q4ZlJvbm5tQjB5cFRodDB4RndUdWwyRm5maGpIaHBPZmpFMEtub3ota1U3WnZERzMwMm5xREtkSU83NmZLNXZnRHBiRTFxQUg1eFdUMTFqUEt3VDZQYWtTZWFnVmxrWFVFTnRUUG9PQkM4a3pIaXFUU3ZWTUtBb2ttQmVueG1mVVNVdHZSS2RwSnRwWTRfREw0aHhkYWl0Z0ZoX2xhV1htdWZxTmF0YjdpbndheUxWQ0lxN2NObUlFWmJlMk5NeGx2WEh2ZDQxV1hVVmZ3?oc=5"" target=""_blank"">Cyclone Ditwah tracker highlights: Storm weakens into deep depression, 50 km away from TN-Puducherry coasts | India News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Disaster,en
Cyclone Ditwah Tracker Live: Schools in Puducherry to remain closed today; South Coastal Andhra Pradesh likely to see extremely heavy rainfall - Times of India,https://news.google.com/rss/articles/CBMingJBVV95cUxQR0hpc0RmLU9nV0hrWVBtMWtzY2dfX19VWTE5LVBHeVZrYUZTdWF6YnVIdDJRQkpFSE02X3JmZzhtb1pWQmtFZXNZU2ktZElyaGVpM2IzbjEzMXkwazBrTEJ6UEJTXzV5b0pQS1dIdFU2Zi1uVTc4MXF1OGZOekdDT1hNbXNveVVRc0tYY3F1cDJzb2JVVWwzal9rQ29GNDdxSzRfa0RPZFdLLVBhcGJBaFB6RG5idGhOTjJvbTBLWEEzYnV2My01SzN2LXhXMk5icnJkM2lYLW1USm9SXzg2bFdWQUU2RnBRWGYwd0RuR21sa05ZSzNhdVI2UmE1S0FsM05PaTNoRi05VFVNcjF4OHYzNzhyX1Q3Q1NpOXh30gGjAkFVX3lxTFBEdW9qVUhfWUk2ZU5sTFZhOXFKMkdfMVMwQ2dYMDhGcXdGWExod1RtcUpEOWZGUngxbHJHQlNMNlVHbGRrWTV6NjhOa3ltQnA3RWktYnpaSHR5cjlBMHFjZ3RuS2JWOFJjQjl1bU5obThqNEh0OVFwZWhiWFFxbUEtcmo5a3ViMHNnY09xZUVQRUpISG5QTWZRbGs3NDYxNWRGeHdWeGRYU19qZUd6ZjlLVWFKczFJZmh5bURuQkFoTnUtbkFpYk1PdnhjLUgybE02NjNKY2lQY1VVemhyY2tkZXFnb0lSWW5IYlpMbU8xNHdEczdTR3RkdndNcmR2SEtmYUtRRlNva3ZUM3B0dHRfYnVRLXpVT2lhRTE4N2NSbjRYdw?oc=5,2025-12-01 08:53:52,Times of India,"<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxQR0hpc0RmLU9nV0hrWVBtMWtzY2dfX19VWTE5LVBHeVZrYUZTdWF6YnVIdDJRQkpFSE02X3JmZzhtb1pWQmtFZXNZU2ktZElyaGVpM2IzbjEzMXkwazBrTEJ6UEJTXzV5b0pQS1dIdFU2Zi1uVTc4MXF1OGZOekdDT1hNbXNveVVRc0tYY3F1cDJzb2JVVWwzal9rQ29GNDdxSzRfa0RPZFdLLVBhcGJBaFB6RG5idGhOTjJvbTBLWEEzYnV2My01SzN2LXhXMk5icnJkM2lYLW1USm9SXzg2bFdWQUU2RnBRWGYwd0RuR21sa05ZSzNhdVI2UmE1S0FsM05PaTNoRi05VFVNcjF4OHYzNzhyX1Q3Q1NpOXh30gGjAkFVX3lxTFBEdW9qVUhfWUk2ZU5sTFZhOXFKMkdfMVMwQ2dYMDhGcXdGWExod1RtcUpEOWZGUngxbHJHQlNMNlVHbGRrWTV6NjhOa3ltQnA3RWktYnpaSHR5cjlBMHFjZ3RuS2JWOFJjQjl1bU5obThqNEh0OVFwZWhiWFFxbUEtcmo5a3ViMHNnY09xZUVQRUpISG5QTWZRbGs3NDYxNWRGeHdWeGRYU19qZUd6ZjlLVWFKczFJZmh5bURuQkFoTnUtbkFpYk1PdnhjLUgybE02NjNKY2lQY1VVemhyY2tkZXFnb0lSWW5IYlpMbU8xNHdEczdTR3RkdndNcmR2SEtmYUtRRlNva3ZUM3B0dHRfYnVRLXpVT2lhRTE4N2NSbjRYdw?oc=5"" target=""_blank"">Cyclone Ditwah Tracker Live: Schools in Puducherry to remain closed today; South Coastal Andhra Pradesh likely to see extremely heavy rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone Ditwah LIVE location tracker: How to check live location, path, status, speed and landfall alerts in real-time - The Indian Express",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPMVpWMDQ0VExLbUh2ZmcyRUFUaGptclAwbWxlNkRVUlRMTlJwM0t3UHBBOU9xdWlGZmp4SlVUMkd3NUJBWkVoaTRTdy1ZRlZDV2E4ZjYxeHNKM0FqWW41Rm9Jbm5kN3lHVEtOVzhieUJ2cG8zMC12VkpSSnV4VHY2WWIzcVFPdzk4RWxObEFxSFFXSUd0VkFJa2NLeXdRNDRaX2ZuRWRJOTBRWDFTeHoyMXJrbEh4eEowNWktTXpEUTN5U3dYQ2tKUG12cnRCR2xORnfSAdgBQVVfeXFMTk9sRWRkOW1aWWQ0aEd0T0ExRFNCcy1YZ0Y2Y05NamU0dmdUZThlSDMxSC1nNjgyaHNhVGdnTUFXSDllSml2WE9pVDN5cC1IcDVJOUpMQWpGZ0xIY19rZ0JiQkY0SmpvZlFUMGhkVGdUR0dwQnJxaGI3b3F0R3NyWi1tOGpZcXFlRXBLRWxuUW5yNlNPQnhmOVNvQXhHNmxUZjJzZGd6VXk0ZzVLeDhpMWtqV1NTM19xcHBXUDdtS21tenBUSjJ4WUEtN09vYnBEekFaeHlDRGhY?oc=5,2025-12-01 09:01:16,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPMVpWMDQ0VExLbUh2ZmcyRUFUaGptclAwbWxlNkRVUlRMTlJwM0t3UHBBOU9xdWlGZmp4SlVUMkd3NUJBWkVoaTRTdy1ZRlZDV2E4ZjYxeHNKM0FqWW41Rm9Jbm5kN3lHVEtOVzhieUJ2cG8zMC12VkpSSnV4VHY2WWIzcVFPdzk4RWxObEFxSFFXSUd0VkFJa2NLeXdRNDRaX2ZuRWRJOTBRWDFTeHoyMXJrbEh4eEowNWktTXpEUTN5U3dYQ2tKUG12cnRCR2xORnfSAdgBQVVfeXFMTk9sRWRkOW1aWWQ0aEd0T0ExRFNCcy1YZ0Y2Y05NamU0dmdUZThlSDMxSC1nNjgyaHNhVGdnTUFXSDllSml2WE9pVDN5cC1IcDVJOUpMQWpGZ0xIY19rZ0JiQkY0SmpvZlFUMGhkVGdUR0dwQnJxaGI3b3F0R3NyWi1tOGpZcXFlRXBLRWxuUW5yNlNPQnhmOVNvQXhHNmxUZjJzZGd6VXk0ZzVLeDhpMWtqV1NTM19xcHBXUDdtS21tenBUSjJ4WUEtN09vYnBEekFaeHlDRGhY?oc=5"" target=""_blank"">Cyclone Ditwah LIVE location tracker: How to check live location, path, status, speed and landfall alerts in real-time</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
"Cyclone Ditwah: Red Alert in Tamil Nadu, Puducherry as Storm Moves Parallel to Coast - MSN",https://news.google.com/rss/articles/CBMi3wFBVV95cUxNa2I3djJnMXRCWWlVOXV3aXlfbUxTRDBHU0MxXzJWcENQSFl3Ukp4Q09ReDFTQzdBbUlObGFZVVRIY1JFbTc1Tjk3Ql9kR1c3dWhLb3Zjc3pxVGg4WERoYzZ2TlJieFBhTWRKUnhBTlRvSExDc0hwRWRLM3RQZG1GVXJaQjRna2MzTkFadnVaN2Zzb3hQckloZExzdmlRWTh4OWwtUEJ6aGRTUkw0SWpfeV9Jc01RQ0lrRDBBbUVmNVRiU1dGTmpiTEpRN0dMVE8zeWtia1hCcGZmV0xkanpR?oc=5,2025-12-01 02:48:50,MSN,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNa2I3djJnMXRCWWlVOXV3aXlfbUxTRDBHU0MxXzJWcENQSFl3Ukp4Q09ReDFTQzdBbUlObGFZVVRIY1JFbTc1Tjk3Ql9kR1c3dWhLb3Zjc3pxVGg4WERoYzZ2TlJieFBhTWRKUnhBTlRvSExDc0hwRWRLM3RQZG1GVXJaQjRna2MzTkFadnVaN2Zzb3hQckloZExzdmlRWTh4OWwtUEJ6aGRTUkw0SWpfeV9Jc01RQ0lrRDBBbUVmNVRiU1dGTmpiTEpRN0dMVE8zeWtia1hCcGZmV0xkanpR?oc=5"" target=""_blank"">Cyclone Ditwah: Red Alert in Tamil Nadu, Puducherry as Storm Moves Parallel to Coast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Cyclone Ditwah weakens, moves northward slowly along Tamil Nadu coast - The Hindu",https://news.google.com/rss/articles/CBMizgFBVV95cUxQcXRFM2gwUzVMVmNsWTBiRzROQ3FqaTc5ZGxTZEJrWHctWlk3MEJTMzByX1doVHp3WHFiV25aMlVBdXBzWTBBbHpuZlF6MnNfeE53YXB0dVh5NFdDU05IMmNMd3Q2RmpEeWlBRjF4UzI3V3RWd0RVZG5JaW94MFJGMENoY2g3d0cteXJDX19FZ01HQ3ZhXzF3dEVqRHN3T0ZHZ3NoMzdNeHhwLUpFZy1uRFRRcDE0ekpfb3ItXzFWM1E0TWxRNlNjckx6UWxtZ9IB1AFBVV95cUxPTmJvS0JYdjRmS3E2SGJWUXAxTFVISkpCY2MwSkg3QXZoMUdXS2R0MHlSRTZjYzA0a2dvdGwwOVA1Qkl5VlVEYlRmdG5BUzJfT0xnLThhY3lOVmVnaWxyNUdablY0RWNvM2h4SkthdVNkWEk2eTEtQmZ0M2kydHp0bnV5blNEWmNvY2hxeU9aUVhIYzRpT2pfUU9RNmtGWDVGeEFRZ3lwa0U2bUJYbkhBTjd4RjRSai1VNFVuME1ldl96XzN1SE41bllmZXFWR3RxeFV1Xw?oc=5,2025-11-30 22:01:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQcXRFM2gwUzVMVmNsWTBiRzROQ3FqaTc5ZGxTZEJrWHctWlk3MEJTMzByX1doVHp3WHFiV25aMlVBdXBzWTBBbHpuZlF6MnNfeE53YXB0dVh5NFdDU05IMmNMd3Q2RmpEeWlBRjF4UzI3V3RWd0RVZG5JaW94MFJGMENoY2g3d0cteXJDX19FZ01HQ3ZhXzF3dEVqRHN3T0ZHZ3NoMzdNeHhwLUpFZy1uRFRRcDE0ekpfb3ItXzFWM1E0TWxRNlNjckx6UWxtZ9IB1AFBVV95cUxPTmJvS0JYdjRmS3E2SGJWUXAxTFVISkpCY2MwSkg3QXZoMUdXS2R0MHlSRTZjYzA0a2dvdGwwOVA1Qkl5VlVEYlRmdG5BUzJfT0xnLThhY3lOVmVnaWxyNUdablY0RWNvM2h4SkthdVNkWEk2eTEtQmZ0M2kydHp0bnV5blNEWmNvY2hxeU9aUVhIYzRpT2pfUU9RNmtGWDVGeEFRZ3lwa0U2bUJYbkhBTjd4RjRSai1VNFVuME1ldl96XzN1SE41bllmZXFWR3RxeFV1Xw?oc=5"" target=""_blank"">Cyclone Ditwah weakens, moves northward slowly along Tamil Nadu coast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Cyclone Ditwah: Red Alert in Tamil Nadu and Puducherry as Storm Moves Parallel to Coast - India Today - India Today,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQQTNDd0w4Q2dxVVJJbFNkc1JoRHdvQXlscFMzNWo5VWEzR2dBTlhLVFhubGY3dHJFTUoyUmQ0QzdhUXRub1V5Tlc3eUNMcXZ6b2lUSmxZU1ZxR0w3Z2ZlOG9NelVpa3NoN21zRFE5Q1dMUlBUTHVlaWc4RGh5VGd0VVcyT1hjNVAtMnkxdHpTX1hDWXZDdjE1Wmd1dVBhaDRNOHdyNlpJZzl6NWlpVmlOQXBsX1hXT2J2SEVrSGIxWGI5Qk43S1F5WnNyQ2w4OWw0Zmc2WU9jbUwtWHdnNllIUU5n0gHnAUFVX3lxTE9xLUFjTllTc3RuTk9mTWtxc3JBX1hYRlAtSUxhTWhUR24tVXo0a2xrcXRVNlU0ekFVOVp2bEdHazBYRGo0M19CMVNJMjZlU1lVMWVtVUc2M0g3dWxLYTZyMUt5VXVRcDlLVW5XQWFvcm5pRlhQVFNmY3pvQm05eGtDaDJFZTY0aFQzdTJKN2NzT3BucHRnQmE4eUlsSnBRUlVpS2tCVnJ0VmdxRVZlbkVMNWFFVS1jRlpPcXpVS2xDLTVFTzYxT3BObEtMNk5KRUpwc0VFZTRVb2lMU1NsTkZBSnU3eTV4Yw?oc=5,2025-11-30 18:19:24,India Today,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQQTNDd0w4Q2dxVVJJbFNkc1JoRHdvQXlscFMzNWo5VWEzR2dBTlhLVFhubGY3dHJFTUoyUmQ0QzdhUXRub1V5Tlc3eUNMcXZ6b2lUSmxZU1ZxR0w3Z2ZlOG9NelVpa3NoN21zRFE5Q1dMUlBUTHVlaWc4RGh5VGd0VVcyT1hjNVAtMnkxdHpTX1hDWXZDdjE1Wmd1dVBhaDRNOHdyNlpJZzl6NWlpVmlOQXBsX1hXT2J2SEVrSGIxWGI5Qk43S1F5WnNyQ2w4OWw0Zmc2WU9jbUwtWHdnNllIUU5n0gHnAUFVX3lxTE9xLUFjTllTc3RuTk9mTWtxc3JBX1hYRlAtSUxhTWhUR24tVXo0a2xrcXRVNlU0ekFVOVp2bEdHazBYRGo0M19CMVNJMjZlU1lVMWVtVUc2M0g3dWxLYTZyMUt5VXVRcDlLVW5XQWFvcm5pRlhQVFNmY3pvQm05eGtDaDJFZTY0aFQzdTJKN2NzT3BucHRnQmE4eUlsSnBRUlVpS2tCVnJ0VmdxRVZlbkVMNWFFVS1jRlpPcXpVS2xDLTVFTzYxT3BObEtMNk5KRUpwc0VFZTRVb2lMU1NsTkZBSnU3eTV4Yw?oc=5"" target=""_blank"">Cyclone Ditwah: Red Alert in Tamil Nadu and Puducherry as Storm Moves Parallel to Coast - India Today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Disaster,en
"Cyclone Ditwah Tracker Highlights: IMD predicts extremely heavy rainfall in Tamil Nadu, Puducherry, Karaikal - livemint.com",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPS0c4SVdlR0NIR2k1bm9fRXJkMTVsVks2LWpXcExwajFUM0ZXVHBNUkFCbGpoVnRyWmpJOTJ5V0NWUlRaZ053cU1TSGFqeDYwYzZpSERPeUhzTHRRX3liMkQxcmtQaUxxeUNBZWZWTTZHTTdDXzFiRkNzUmZBbW9sdWR1WS1PS1lRb3FobEdOUExVcHRxSklQVTR0dndLYjg4eXZSSlVTZm5IdFJCbFpqT25YclFiczdlMmZhMDd0STdINzRIZGtGVVdzT1o4X2gxamM4M9IB2gFBVV95cUxQaHZ5Q1FSbWtoM3dPSlhWalo3ei1EWUw1OWRYOExuMEU3cncyeXZWQ2EwYUl4ZnhBZmc4eW9BQlRiTnZuZEJEdVRtektXbHVSYUhmS240cTZncUwzMWthWEhkc1Blc1JyeGExN0ZRdy1wX2hlMnQ1QWRiRTZnTmVoc1dnNm1yeUdGelljZl9RVmdwVE5lT3BUdkJyS25Jb1ExdFdxbC1LSGFYb3BQQURFRzB3NnNncG9jVndpdkd1MWprclJlRXQxMEhYbGRkTzhzM2N5eF9aLXZmUQ?oc=5,2025-12-01 06:28:31,livemint.com,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPS0c4SVdlR0NIR2k1bm9fRXJkMTVsVks2LWpXcExwajFUM0ZXVHBNUkFCbGpoVnRyWmpJOTJ5V0NWUlRaZ053cU1TSGFqeDYwYzZpSERPeUhzTHRRX3liMkQxcmtQaUxxeUNBZWZWTTZHTTdDXzFiRkNzUmZBbW9sdWR1WS1PS1lRb3FobEdOUExVcHRxSklQVTR0dndLYjg4eXZSSlVTZm5IdFJCbFpqT25YclFiczdlMmZhMDd0STdINzRIZGtGVVdzT1o4X2gxamM4M9IB2gFBVV95cUxQaHZ5Q1FSbWtoM3dPSlhWalo3ei1EWUw1OWRYOExuMEU3cncyeXZWQ2EwYUl4ZnhBZmc4eW9BQlRiTnZuZEJEdVRtektXbHVSYUhmS240cTZncUwzMWthWEhkc1Blc1JyeGExN0ZRdy1wX2hlMnQ1QWRiRTZnTmVoc1dnNm1yeUdGelljZl9RVmdwVE5lT3BUdkJyS25Jb1ExdFdxbC1LSGFYb3BQQURFRzB3NnNncG9jVndpdkd1MWprclJlRXQxMEhYbGRkTzhzM2N5eF9aLXZmUQ?oc=5"" target=""_blank"">Cyclone Ditwah Tracker Highlights: IMD predicts extremely heavy rainfall in Tamil Nadu, Puducherry, Karaikal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>",Disaster,en
