Title,Link,Date,Source,Summary,Term,LanguageQueried
"Severe weather alert: Coastal Tamil Nadu, Puducherry and Andhra to face heavy rains, strong winds - Times of India",https://news.google.com/rss/articles/CBMihAJBVV95cUxNYW5HVV85RnZmNTlEbnJ5NUVFeGNSaUJhbmlEV05OZzdmY21xbDJ5ZzlGVzBqV2RGZEJGQjVsUEFCZkZSQktOZDFlcGdHaVoyNkRaVjYyRHRWbUM1ckliLXVjbjNuVllkck1TUDNuajBJT3dNZUlYMVVYRGlTNDRPX0xyVXRXVnNHak9obE9JSnV0ckFWamJqUTRNaHVwSjlwX1NuWjh3eXJiUWU2MTdGWEZrNVlnV0dKVFNIa2E5TUVxWHA5WlYyUkZyRjdpNl9EQVZMWkMwVjZJZ0RmQ1lEVlZVNlBiOG5nMjlVZ0xPdVI3VHBZMnc2eVdnNU5fWDRldnBHY9IBigJBVV95cUxQbnpuZW1UamlpYW1HVF9BV1RtSXFvbkdFMzFZM1Y3RDFqUzlWM0psakVHelVfam1oVmFEWGYwMEJvRGVHN2l4QVpuSy1ycEgzRWVWa0poaG1pUElmZTFqbU1tYUFRU3AwZDFRYzRTc0xNeDN1LU40eDExb3lTNzVjb1JON3JIU3I5Vkk1eEdHWHhJc01NQ0R4ZzZ4SXduTmdId3JET1NfQTZKOE9vYmtzWWY2MFZYaGlQXzEtaFhxb2hlQlYxMmkxU0ItWTdMWUQ4SF9wREFOazFtdzJWZXZSMHBzSmlVYnlPNG10WktZUDFVRUhicjBlSEk0R3JUUkVINjNPZGV2WlZrdw?oc=5,2025-12-05 11:19:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxNYW5HVV85RnZmNTlEbnJ5NUVFeGNSaUJhbmlEV05OZzdmY21xbDJ5ZzlGVzBqV2RGZEJGQjVsUEFCZkZSQktOZDFlcGdHaVoyNkRaVjYyRHRWbUM1ckliLXVjbjNuVllkck1TUDNuajBJT3dNZUlYMVVYRGlTNDRPX0xyVXRXVnNHak9obE9JSnV0ckFWamJqUTRNaHVwSjlwX1NuWjh3eXJiUWU2MTdGWEZrNVlnV0dKVFNIa2E5TUVxWHA5WlYyUkZyRjdpNl9EQVZMWkMwVjZJZ0RmQ1lEVlZVNlBiOG5nMjlVZ0xPdVI3VHBZMnc2eVdnNU5fWDRldnBHY9IBigJBVV95cUxQbnpuZW1UamlpYW1HVF9BV1RtSXFvbkdFMzFZM1Y3RDFqUzlWM0psakVHelVfam1oVmFEWGYwMEJvRGVHN2l4QVpuSy1ycEgzRWVWa0poaG1pUElmZTFqbU1tYUFRU3AwZDFRYzRTc0xNeDN1LU40eDExb3lTNzVjb1JON3JIU3I5Vkk1eEdHWHhJc01NQ0R4ZzZ4SXduTmdId3JET1NfQTZKOE9vYmtzWWY2MFZYaGlQXzEtaFhxb2hlQlYxMmkxU0ItWTdMWUQ4SF9wREFOazFtdzJWZXZSMHBzSmlVYnlPNG10WktZUDFVRUhicjBlSEk0R3JUUkVINjNPZGV2WlZrdw?oc=5"" target=""_blank"">Severe weather alert: Coastal Tamil Nadu, Puducherry and Andhra to face heavy rains, strong winds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Severe weather alert: Coastal Tamil Nadu, Puducherry and Andhra to face heavy rains, strong winds - MSN",https://news.google.com/rss/articles/CBMi8gJBVV95cUxNbkFqakluc0VNM1oxZ2oxRGYtaWZTOUdPd1F4WEVzX1VWS25IQUFBSVk5ZXBBbU5nOUhrdnZzM1BJR2pPZzRfOUE0c3pxSXhTTzBiakFjcUFXblBydVlWV09HZkY3UEhVOHF0Q1picWg4a2dEeGtJTlhLRFZhbHRrX0lMOTcyRmZnZG1Cc29uT2pHTlRVcjJaQklRbk05WmxKZEY4Nlp1V0Q2MFdjRW4wMnZSTWJnaDRkNWhEMHRPUWwxbC1YZzM0UmZ5R1l3S1VPaVhoMTk2VTQwd1cxREd5c1ZwSHZ1b0dhZzdEVDY2M05WUXQ1MV9fUWlJejduSHZXZzBCejlkTC1fUDdfV25QM05rdFJ4U1V2WllUcUY4SWVUZVdrZGNNUzZRMkNfTU12UzdJbEpqalNzcDNMZDJjY1lEQkRaamN3WGoxcEVaZWgtMkZqY2xpVzBvZ0szcEJsRTVwWElqSTNHVWhydl8zaHpR?oc=5,2025-12-05 10:28:53,MSN,"<a href=""https://news.google.com/rss/articles/CBMi8gJBVV95cUxNbkFqakluc0VNM1oxZ2oxRGYtaWZTOUdPd1F4WEVzX1VWS25IQUFBSVk5ZXBBbU5nOUhrdnZzM1BJR2pPZzRfOUE0c3pxSXhTTzBiakFjcUFXblBydVlWV09HZkY3UEhVOHF0Q1picWg4a2dEeGtJTlhLRFZhbHRrX0lMOTcyRmZnZG1Cc29uT2pHTlRVcjJaQklRbk05WmxKZEY4Nlp1V0Q2MFdjRW4wMnZSTWJnaDRkNWhEMHRPUWwxbC1YZzM0UmZ5R1l3S1VPaVhoMTk2VTQwd1cxREd5c1ZwSHZ1b0dhZzdEVDY2M05WUXQ1MV9fUWlJejduSHZXZzBCejlkTC1fUDdfV25QM05rdFJ4U1V2WllUcUY4SWVUZVdrZGNNUzZRMkNfTU12UzdJbEpqalNzcDNMZDJjY1lEQkRaamN3WGoxcEVaZWgtMkZqY2xpVzBvZ0szcEJsRTVwWElqSTNHVWhydl8zaHpR?oc=5"" target=""_blank"">Severe weather alert: Coastal Tamil Nadu, Puducherry and Andhra to face heavy rains, strong winds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Today School Holiday (6 Dec) LIVE: Check States And City-Wise School Closure Updates Amid Rising AQI, Teacher's Strikes, Heavy Rain & Festivals - The Daily Jagran",https://news.google.com/rss/articles/CBMijwJBVV95cUxQUmUwUS1fWWtXdE00R1BpWFpQQzRWNWt0c2sxUl9sTkxMUktGM0h5QXVKRDJWR0N2VXJEVHA2MmI3V3U5YW1HSUNaWm40VmNxb19vaGF4SU5NdnVqaC10ZzdJRm5BeWl5OVFDd0xqRUY5R3BTbXZjV2dMUm9lS1JkQnlCb3doaEdPb1d3bk9yMGxadl9pWS0yMFdDOWctYzdyOFhpOC1BX2VaT3Z6TkttakVNSG1wZWlWcDNjR1NQajYtR1lBYmxqcmRELW5wRWZCdzRBaTZnUXNlbm0ydXVDQ3lDUUgwMDZVTnlVOGRncGFrY0FfU2NOWGFGTG1za3JaZ0hhUWtzMlFYTHFvSkxz?oc=5,2025-12-06 09:45:00,The Daily Jagran,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxQUmUwUS1fWWtXdE00R1BpWFpQQzRWNWt0c2sxUl9sTkxMUktGM0h5QXVKRDJWR0N2VXJEVHA2MmI3V3U5YW1HSUNaWm40VmNxb19vaGF4SU5NdnVqaC10ZzdJRm5BeWl5OVFDd0xqRUY5R3BTbXZjV2dMUm9lS1JkQnlCb3doaEdPb1d3bk9yMGxadl9pWS0yMFdDOWctYzdyOFhpOC1BX2VaT3Z6TkttakVNSG1wZWlWcDNjR1NQajYtR1lBYmxqcmRELW5wRWZCdzRBaTZnUXNlbm0ydXVDQ3lDUUgwMDZVTnlVOGRncGFrY0FfU2NOWGFGTG1za3JaZ0hhUWtzMlFYTHFvSkxz?oc=5"" target=""_blank"">Today School Holiday (6 Dec) LIVE: Check States And City-Wise School Closure Updates Amid Rising AQI, Teacher's Strikes, Heavy Rain & Festivals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Jagran</font>",Disaster,en
"Heavy Rains Expected in AP, Telangana following cyclone Ditwah - The Hans India",https://news.google.com/rss/articles/CBMirAFBVV95cUxQXzM5ZWNNZGx5VWtLN3h4Zi1CM0RlRmpnajFHQVlUVzViZ1N1TkVuYVliemN1N2lydVM3RlMyamh6WWN0c1dYOU1KMWdKSEhhYkd0dEstSFRWYmtnZm1hcjFkY2xHcWFNQ3NCV0NLTmRVOWZCd0JlODNFb3JMTEIxTnM1eThjbkljdFdWVFN1OEE2bjVKS2Z4X0pFWGo2WVk0N29OWXh4TG9udktk0gGyAUFVX3lxTE5FU01LeUt0SlN6OWRpOEdiQ2FMbElzNnVzSEhwTFpDNzNpeHQzMjZUbnJ5TkxrNFNRSXV3Vk56T3VadlppanB0NjRxb2RYbUxpaFkwYlJaVXE2OTQzSVY5R0M2QzJZQ0RwaEVkRk4xd1RScThFY0d6MGxMVHV1SWJ2VkpjUWducENsRlJCNmgtWktibi1sU3FRSXBwZ1BPZEVUSTJEOXBiWTZnZjJsN2hFUVE?oc=5,2025-12-05 16:07:26,The Hans India,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQXzM5ZWNNZGx5VWtLN3h4Zi1CM0RlRmpnajFHQVlUVzViZ1N1TkVuYVliemN1N2lydVM3RlMyamh6WWN0c1dYOU1KMWdKSEhhYkd0dEstSFRWYmtnZm1hcjFkY2xHcWFNQ3NCV0NLTmRVOWZCd0JlODNFb3JMTEIxTnM1eThjbkljdFdWVFN1OEE2bjVKS2Z4X0pFWGo2WVk0N29OWXh4TG9udktk0gGyAUFVX3lxTE5FU01LeUt0SlN6OWRpOEdiQ2FMbElzNnVzSEhwTFpDNzNpeHQzMjZUbnJ5TkxrNFNRSXV3Vk56T3VadlppanB0NjRxb2RYbUxpaFkwYlJaVXE2OTQzSVY5R0M2QzJZQ0RwaEVkRk4xd1RScThFY0d6MGxMVHV1SWJ2VkpjUWducENsRlJCNmgtWktibi1sU3FRSXBwZ1BPZEVUSTJEOXBiWTZnZjJsN2hFUVE?oc=5"" target=""_blank"">Heavy Rains Expected in AP, Telangana following cyclone Ditwah</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hans India</font>",Disaster,en
"Chennai Rains, Weather Today LIVE Updates: Chennai braces for another wet day as IMD issues fresh Orange Alerts - The Indian Express",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQVjFKN1p4RDQ3ZjJjbDgxYmdGZXRFSk1vUlhld1Q1LWFrQU9ST2NNWmN6blU0UHJBdGNIVXp3dHVFVERNdzVrdFRJcEo0Z0oxRjhaVXFzSi12OTctWUluZU1TUWhDRjlTU1pQX3RwWjVBZzJoUFFXalVBTzdvY182ZmJhMnlNV3RRMWdWZGlXWFktQkJ2WGZyUno1TGR6OHIxakpsOWJZVFczLXlKVUZpMzQwODlIV2tZR0ptc1pDR0xLVzZJRXBmRmo2bmNNOFhvQkHSAdgBQVVfeXFMUFBBX2g3NGhmb0Y0U1R6RWp3cHFkQzZhZl9NRHlNckFRQnpFMV8tVl9rY3JLUmpydmthV3NlVi1qbG9XbkdZMjZ2WWR5QjMycEtBRWMxYkY5bG5zUzVXWGlnRUNwUlVjRjBKTFUyYzdfVG1tXzNLZHBXcDVzUFRHbGgwOGJrZV9oNDdFU3hfQTktYmozc3Qtai05RzZXVkpydUJ3NS11MmpXZ2ZaY0lSQW9fZkloeExOcWFVWVktak1tdmktWVphMzN6MVFaTGYwd3BYR0hCUTR4?oc=5,2025-12-05 20:41:11,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQVjFKN1p4RDQ3ZjJjbDgxYmdGZXRFSk1vUlhld1Q1LWFrQU9ST2NNWmN6blU0UHJBdGNIVXp3dHVFVERNdzVrdFRJcEo0Z0oxRjhaVXFzSi12OTctWUluZU1TUWhDRjlTU1pQX3RwWjVBZzJoUFFXalVBTzdvY182ZmJhMnlNV3RRMWdWZGlXWFktQkJ2WGZyUno1TGR6OHIxakpsOWJZVFczLXlKVUZpMzQwODlIV2tZR0ptc1pDR0xLVzZJRXBmRmo2bmNNOFhvQkHSAdgBQVVfeXFMUFBBX2g3NGhmb0Y0U1R6RWp3cHFkQzZhZl9NRHlNckFRQnpFMV8tVl9rY3JLUmpydmthV3NlVi1qbG9XbkdZMjZ2WWR5QjMycEtBRWMxYkY5bG5zUzVXWGlnRUNwUlVjRjBKTFUyYzdfVG1tXzNLZHBXcDVzUFRHbGgwOGJrZV9oNDdFU3hfQTktYmozc3Qtai05RzZXVkpydUJ3NS11MmpXZ2ZaY0lSQW9fZkloeExOcWFVWVktak1tdmktWVphMzN6MVFaTGYwd3BYR0hCUTR4?oc=5"" target=""_blank"">Chennai Rains, Weather Today LIVE Updates: Chennai braces for another wet day as IMD issues fresh Orange Alerts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
"Cyclone Ditwah To Come Within 25 Km Of Tamil Nadu Coast By Nov. 30, Check Latest IMD Forecast - MSN",https://news.google.com/rss/articles/CBMi7gJBVV95cUxPT3ZCQ2drRkVSaHI0elVtZG9lSDhtVnBYbkMtYkI2ZE9hMGs4emhneWZEaWo5N1RnaDFOOWF4VF9TOW5GNW1qYzVVYWJFcEFnSXVqSUE5NWJZVWczODdHMDVyTUhKdmM2eThvcU1MYlZuS3kzUWpxaEZjcUxBNUFXV2RVYnl0VXd6WlFCTjN0X2JzX2ZEYkN5ZVZMa1UzcTNFaFM3b0JzdWZ0ZnhOWm9oMzFqNVFibTZjS000S3VMTjdOYW1jaG42MmFpd2FzVlNzVGlseG5iQ0h5UXdIa2Z6RXhXSHdaQ2d6NmowcFJsc3BZMDBJWGZwVVBSaVhaOXN2dTVQRUZtRklEb0I5V1NyT2hWUWZxa09HNVUzdFBuMWN0R0Z5TzhLZTF6MG5EQXVBZHMyY09TMFBwaXBlSWE0MlNfNFhaYXdETnFMY1JfNjU2Z1JJbS1lN3I3RWRZcDItQ2pUWW1KS2p6YnZXZGc?oc=5,2025-12-06 00:04:32,MSN,"<a href=""https://news.google.com/rss/articles/CBMi7gJBVV95cUxPT3ZCQ2drRkVSaHI0elVtZG9lSDhtVnBYbkMtYkI2ZE9hMGs4emhneWZEaWo5N1RnaDFOOWF4VF9TOW5GNW1qYzVVYWJFcEFnSXVqSUE5NWJZVWczODdHMDVyTUhKdmM2eThvcU1MYlZuS3kzUWpxaEZjcUxBNUFXV2RVYnl0VXd6WlFCTjN0X2JzX2ZEYkN5ZVZMa1UzcTNFaFM3b0JzdWZ0ZnhOWm9oMzFqNVFibTZjS000S3VMTjdOYW1jaG42MmFpd2FzVlNzVGlseG5iQ0h5UXdIa2Z6RXhXSHdaQ2d6NmowcFJsc3BZMDBJWGZwVVBSaVhaOXN2dTVQRUZtRklEb0I5V1NyT2hWUWZxa09HNVUzdFBuMWN0R0Z5TzhLZTF6MG5EQXVBZHMyY09TMFBwaXBlSWE0MlNfNFhaYXdETnFMY1JfNjU2Z1JJbS1lN3I3RWRZcDItQ2pUWW1KS2p6YnZXZGc?oc=5"" target=""_blank"">Cyclone Ditwah To Come Within 25 Km Of Tamil Nadu Coast By Nov. 30, Check Latest IMD Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
December 6 School Holiday or not? - SakshiPost,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTGE2UVBXaExGOFdDN0J0N1FhTi1BaHhBa2VzeDFqSmE1bXVEdGhtX3J0eHl2MkxGUFMzMk0wZnl5Qm1NeExtZmZTWlhkdVVYYU9MMGdWOFNUc2xPSUFjTTRvTzJXX2h0SjhGOWVscWhMMy1zWUF4YVp1b2NqNkZ0VjgwRjlMN0pu0gGLAUFVX3lxTE44X0NueExRc01QNllqcTRDMGlVN09OYU9iSWRGcHR6ZE8xZVF0QUE2V1B5eGppSmxvcGZnblhDOU5KQ2t5U3NrUlQ0XzF6VjlVU1N0WVRRZkhuZUs0a0dHd25IQzl5YTl2M19zanA1bGh6Y2dJSmY4VVI5SGRqSFE5d3hFTGlXckpsa00?oc=5,2025-12-05 15:33:07,SakshiPost,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTGE2UVBXaExGOFdDN0J0N1FhTi1BaHhBa2VzeDFqSmE1bXVEdGhtX3J0eHl2MkxGUFMzMk0wZnl5Qm1NeExtZmZTWlhkdVVYYU9MMGdWOFNUc2xPSUFjTTRvTzJXX2h0SjhGOWVscWhMMy1zWUF4YVp1b2NqNkZ0VjgwRjlMN0pu0gGLAUFVX3lxTE44X0NueExRc01QNllqcTRDMGlVN09OYU9iSWRGcHR6ZE8xZVF0QUE2V1B5eGppSmxvcGZnblhDOU5KQ2t5U3NrUlQ0XzF6VjlVU1N0WVRRZkhuZUs0a0dHd25IQzl5YTl2M19zanA1bGh6Y2dJSmY4VVI5SGRqSFE5d3hFTGlXckpsa00?oc=5"" target=""_blank"">December 6 School Holiday or not?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SakshiPost</font>",Disaster,en
"Weather Alert: Heavy Rain On The Radar, Bengaluru Included - News18",https://news.google.com/rss/articles/CBMiwgFBVV95cUxPMUhJUTNXZk42SzBzcUx0OTRYN0RKT1ZyZXN6LXZ6VTlrV2xIeGZtR3M1dFl0TDlXbldrZFpIbjB6UG9uR3NDbFRZV2psTkREZHh3enoybUpkRzR3Z1I3ZGM3SV80WUtXbmsxckt6WjNmZzl1WUJjOXdBUUNKWG5VTThqc19VRTJsZjZGb0pqYWVNQkh3RjZjWlB4S2xiUkNDTE9jQndWUENtcFZieFBVdjA2Vk1fTzZlRFdjMC1zaEM4UdIBwgFBVV95cUxPMUhJUTNXZk42SzBzcUx0OTRYN0RKT1ZyZXN6LXZ6VTlrV2xIeGZtR3M1dFl0TDlXbldrZFpIbjB6UG9uR3NDbFRZV2psTkREZHh3enoybUpkRzR3Z1I3ZGM3SV80WUtXbmsxckt6WjNmZzl1WUJjOXdBUUNKWG5VTThqc19VRTJsZjZGb0pqYWVNQkh3RjZjWlB4S2xiUkNDTE9jQndWUENtcFZieFBVdjA2Vk1fTzZlRFdjMC1zaEM4UQ?oc=5,2025-12-05 16:02:42,News18,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPMUhJUTNXZk42SzBzcUx0OTRYN0RKT1ZyZXN6LXZ6VTlrV2xIeGZtR3M1dFl0TDlXbldrZFpIbjB6UG9uR3NDbFRZV2psTkREZHh3enoybUpkRzR3Z1I3ZGM3SV80WUtXbmsxckt6WjNmZzl1WUJjOXdBUUNKWG5VTThqc19VRTJsZjZGb0pqYWVNQkh3RjZjWlB4S2xiUkNDTE9jQndWUENtcFZieFBVdjA2Vk1fTzZlRFdjMC1zaEM4UdIBwgFBVV95cUxPMUhJUTNXZk42SzBzcUx0OTRYN0RKT1ZyZXN6LXZ6VTlrV2xIeGZtR3M1dFl0TDlXbldrZFpIbjB6UG9uR3NDbFRZV2psTkREZHh3enoybUpkRzR3Z1I3ZGM3SV80WUtXbmsxckt6WjNmZzl1WUJjOXdBUUNKWG5VTThqc19VRTJsZjZGb0pqYWVNQkh3RjZjWlB4S2xiUkNDTE9jQndWUENtcFZieFBVdjA2Vk1fTzZlRFdjMC1zaEM4UQ?oc=5"" target=""_blank"">Weather Alert: Heavy Rain On The Radar, Bengaluru Included</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",Disaster,en
Tamil Nadu School Holiday (6 Dec): Check District-Wise School Closure Updates & IMD Alerts For Tomorrow - The Daily Jagran,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQWmNyQmxMaHM5TVliTnJGekJVNndRZEI1NEZFWFdLSlRwZ21kVzFGbG5pVnFVQTNnQkE4T1JhQUozX3BiUy1tNkNTa1JPU055NjBEZDBFZlVuazhUWkRmNDhlZndjOWpHbU9odHp5clNyUzEyNzNjamdWUW12bDVLU1lsVEZzOGZmbTdXOGpyX1lBdkZhTlZCcU1aekpPSlJpbzJRcWZhYUxFSFNiOENKbXNON2lEQ0ZRUDVwQldicEhrNU93NXB3LVd2MGtYTVRoVzRv?oc=5,2025-12-05 15:18:00,The Daily Jagran,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQWmNyQmxMaHM5TVliTnJGekJVNndRZEI1NEZFWFdLSlRwZ21kVzFGbG5pVnFVQTNnQkE4T1JhQUozX3BiUy1tNkNTa1JPU055NjBEZDBFZlVuazhUWkRmNDhlZndjOWpHbU9odHp5clNyUzEyNzNjamdWUW12bDVLU1lsVEZzOGZmbTdXOGpyX1lBdkZhTlZCcU1aekpPSlJpbzJRcWZhYUxFSFNiOENKbXNON2lEQ0ZRUDVwQldicEhrNU93NXB3LVd2MGtYTVRoVzRv?oc=5"" target=""_blank"">Tamil Nadu School Holiday (6 Dec): Check District-Wise School Closure Updates & IMD Alerts For Tomorrow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Jagran</font>",Disaster,en
"Cyclone Ditwah remnant hammers Chennai, rains to subside from Dec. 4 across Tamil Nadu - MSN",https://news.google.com/rss/articles/CBMi7gFBVV95cUxOZW5NQ0J6NkdQTWlyamFXVVVRWDZtb1pJU2k5SGNpMENYQkVJTnVtdWMtWDRnQS1XcVBpX05SemFBalBnajVBYUlFRDZOSUZ1Q0xuYWRubmZkZUFxNlMzSmU2X3Y1bVpvRER3bjBrQTBQVU1ERWhWdUV6QW9zTkdMVklMMXJVWC1wV1Y1cGZfSXRudFR5QndBdVJXTXp5bFNWRVlRU1hrbzgyOG4yb3loVDNRbTRlS05taGVVXzY4Nk1HSHUtM29hYTRtU2twOXhMZ2dlanpZbDA5R3h3OWhwQUp6OHlrdHJuaXpFT053?oc=5,2025-12-06 04:49:58,MSN,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxOZW5NQ0J6NkdQTWlyamFXVVVRWDZtb1pJU2k5SGNpMENYQkVJTnVtdWMtWDRnQS1XcVBpX05SemFBalBnajVBYUlFRDZOSUZ1Q0xuYWRubmZkZUFxNlMzSmU2X3Y1bVpvRER3bjBrQTBQVU1ERWhWdUV6QW9zTkdMVklMMXJVWC1wV1Y1cGZfSXRudFR5QndBdVJXTXp5bFNWRVlRU1hrbzgyOG4yb3loVDNRbTRlS05taGVVXzY4Nk1HSHUtM29hYTRtU2twOXhMZ2dlanpZbDA5R3h3OWhwQUp6OHlrdHJuaXpFT053?oc=5"" target=""_blank"">Cyclone Ditwah remnant hammers Chennai, rains to subside from Dec. 4 across Tamil Nadu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
