Title,Link,Date,Source,Summary,Place
"Tamil Nadu Rains, Cyclone Fengal weather live updates: IMD forecasts heavy rain; holiday declared for schools in Chennai, Chengleput, Thanjavur, Tiruvallur - BusinessLine",https://news.google.com/rss/articles/CBMiywFBVV95cUxPcVRFSW54UFNXOHJyR1NReFpwTENrRERPTGI5b05YaEd0ck5lMnA2bzc3cHlHbjhiT0JjTzhNY2hPVHJlV3czWFF6RFNBSU1QY193S0ttSHp6ZXlKWHNaWWZsVm9HU2w3MjdqMUwtYzUtMm5ta3ROcFRKUzRKVnVtdVhXYVFzNmNnSnhGY1FZT0pidy1NaUgzeTJQQXNlanJsOG52enJRUjNMX1NhRVhFYVFxcTBiazdHdlBoTmF0anpwUkVweEZaaHl4NA?oc=5,2024-11-27 07:56:15,BusinessLine,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPcVRFSW54UFNXOHJyR1NReFpwTENrRERPTGI5b05YaEd0ck5lMnA2bzc3cHlHbjhiT0JjTzhNY2hPVHJlV3czWFF6RFNBSU1QY193S0ttSHp6ZXlKWHNaWWZsVm9HU2w3MjdqMUwtYzUtMm5ta3ROcFRKUzRKVnVtdVhXYVFzNmNnSnhGY1FZT0pidy1NaUgzeTJQQXNlanJsOG52enJRUjNMX1NhRVhFYVFxcTBiazdHdlBoTmF0anpwUkVweEZaaHl4NA?oc=5"" target=""_blank"">Tamil Nadu Rains, Cyclone Fengal weather live updates: IMD forecasts heavy rain; holiday declared for schools in Chennai, Chengleput, Thanjavur, Tiruvallur</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font>",
"Cyclone Fengal to develop in Bay of Bengal tomorrow, headed towards Tamil Nadu - The Indian Express",https://news.google.com/rss/articles/CBMivAFBVV95cUxOTXhINWNQWFhmOFVSSUpTLXlNLU1Waks2ZHdUNzRWUHdObGJXT0dmTnlGdEMwYm1zXzRLRkpMUHdHYlBONzlCbENpWVJDTlJ6UExWUmpJbFNfa1hmaTJZWWZrTldiVHY2d1BpcTFodk1IanU4RjZpNWNzQm1RMEw1SERzWnFLNEJERmJXdW55T3ladXZkcXJXWEt0NVlhYWstWFdLc0xLaUVCTFFRZ2N1M0Qzb3A4UUgxN0NZR9IBwwFBVV95cUxOd09jYlJOTWhpcWUweWRNSnVFM1M2d2I4X2dHaEZ4UXl6ZUYyMklVZ3YwUWlMOEFCTUJpcHJrT01FYnJSV25LbFhNR0ZsdlduTE1hcldCS2l0ZzdEUEZEVFBNLUdhREpfLXF1Tzd1M29kZzNoRDJNSkFGV3U3SnA3V0JnOG9MMGVaWWI1Y2o1VzJ4UnA1WHQyak9XNlpNVEpyWWFnVFBxZFYxR281Q0NCbW1TNm9pSHlhSmF6aElyQUx1TTA?oc=5,2024-11-26 18:31:15,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxOTXhINWNQWFhmOFVSSUpTLXlNLU1Waks2ZHdUNzRWUHdObGJXT0dmTnlGdEMwYm1zXzRLRkpMUHdHYlBONzlCbENpWVJDTlJ6UExWUmpJbFNfa1hmaTJZWWZrTldiVHY2d1BpcTFodk1IanU4RjZpNWNzQm1RMEw1SERzWnFLNEJERmJXdW55T3ladXZkcXJXWEt0NVlhYWstWFdLc0xLaUVCTFFRZ2N1M0Qzb3A4UUgxN0NZR9IBwwFBVV95cUxOd09jYlJOTWhpcWUweWRNSnVFM1M2d2I4X2dHaEZ4UXl6ZUYyMklVZ3YwUWlMOEFCTUJpcHJrT01FYnJSV25LbFhNR0ZsdlduTE1hcldCS2l0ZzdEUEZEVFBNLUdhREpfLXF1Tzd1M29kZzNoRDJNSkFGV3U3SnA3V0JnOG9MMGVaWWI1Y2o1VzJ4UnA1WHQyak9XNlpNVEpyWWFnVFBxZFYxR281Q0NCbW1TNm9pSHlhSmF6aElyQUx1TTA?oc=5"" target=""_blank"">Cyclone Fengal to develop in Bay of Bengal tomorrow, headed towards Tamil Nadu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
Cyclone Fengal: Deep Depression Over Bay of Bengal Set to Intensify into Cyclonic Storm Within 12 Hours - Times Now,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPQUFIWUV4QW5UaWQ5ZTJTbkhwc0JEWno0VnZ3RUJrRGlkT0c2blVuZi1CUjRlTzFHVkZHMTJ1RE1yRk1mYXZrc3lvaldrcDE2Tngwb0FyVDBhUk1xZl9BSUUyOTlNQ3BsVHU3NGpfNHA1NWFoODRkNThkRWlOYUJYUE0wNGREVFpiLUk3UXRrMzJ1S1p0dlJKWjJfRlc4bHl1MnlDb05qbV9KSFJ6Z0xzX1hCa25UcGpIY1lVdUZBT3RqOVYxb29kWTl4QU5pX3Btd3pSOV9hcnhUbmNMQlR4YW5HUS3SAeoBQVVfeXFMTUxqRjZydUZ2YVpxTXVSRWNuem1YZTFMR0Z5QTJkUGtDVlZkM00tMDFsUkhtZnAyZXJKTk56UnhJOUJpdU41MVhDUmtJMUJ5dlRUVDN4MXplVER3LUc0MU81X19rVU1NOEt6X2hEQ2ZIUGctNE1uOEQ3NmcxeGQwMjRiZDBtYUFPNW1lRTNHYTM4bklZYll6M3JuN0ZvNkltLXZJTWhKSmZQbjRqSERlS203bU9PNkRfZzBac1UyLXFoaUFiWTNJOVdWMDlyLVkzUllLbnlYNkR2UE5CUXpqQW5Xc0FGWmRrQ0FR?oc=5,2024-11-27 08:55:14,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPQUFIWUV4QW5UaWQ5ZTJTbkhwc0JEWno0VnZ3RUJrRGlkT0c2blVuZi1CUjRlTzFHVkZHMTJ1RE1yRk1mYXZrc3lvaldrcDE2Tngwb0FyVDBhUk1xZl9BSUUyOTlNQ3BsVHU3NGpfNHA1NWFoODRkNThkRWlOYUJYUE0wNGREVFpiLUk3UXRrMzJ1S1p0dlJKWjJfRlc4bHl1MnlDb05qbV9KSFJ6Z0xzX1hCa25UcGpIY1lVdUZBT3RqOVYxb29kWTl4QU5pX3Btd3pSOV9hcnhUbmNMQlR4YW5HUS3SAeoBQVVfeXFMTUxqRjZydUZ2YVpxTXVSRWNuem1YZTFMR0Z5QTJkUGtDVlZkM00tMDFsUkhtZnAyZXJKTk56UnhJOUJpdU41MVhDUmtJMUJ5dlRUVDN4MXplVER3LUc0MU81X19rVU1NOEt6X2hEQ2ZIUGctNE1uOEQ3NmcxeGQwMjRiZDBtYUFPNW1lRTNHYTM4bklZYll6M3JuN0ZvNkltLXZJTWhKSmZQbjRqSERlS203bU9PNkRfZzBac1UyLXFoaUFiWTNJOVdWMDlyLVkzUllLbnlYNkR2UE5CUXpqQW5Xc0FGWmRrQ0FR?oc=5"" target=""_blank"">Cyclone Fengal: Deep Depression Over Bay of Bengal Set to Intensify into Cyclonic Storm Within 12 Hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",
"Heavy rain in TN & Puducherry, schools shut in three delta districts - Social News XYZ",https://news.google.com/rss/articles/CBMipwFBVV95cUxQWjRBaHlwZVNwQUtuSTBkal9YdXJjUDJRaEthTlZlZTZMd1JDMXY1c1lIR21CZ2RSWWF1UjlsMmtKcWZXa1pIcHlaOVJ5SUhXWFoxa1ZCVVNYYmNqMlZBYW44VkdpRml1QUM4N2I1YXZBUFlhWWdFN1BIY1c3c3dheEJ5aDdtcnVIUnM5NlZHUDdYWWdhczVKREJKRzFuZW1YT3BRQUFwUQ?oc=5,2024-11-26 21:23:41,Social News XYZ,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQWjRBaHlwZVNwQUtuSTBkal9YdXJjUDJRaEthTlZlZTZMd1JDMXY1c1lIR21CZ2RSWWF1UjlsMmtKcWZXa1pIcHlaOVJ5SUhXWFoxa1ZCVVNYYmNqMlZBYW44VkdpRml1QUM4N2I1YXZBUFlhWWdFN1BIY1c3c3dheEJ5aDdtcnVIUnM5NlZHUDdYWWdhczVKREJKRzFuZW1YT3BRQUFwUQ?oc=5"" target=""_blank"">Heavy rain in TN & Puducherry, schools shut in three delta districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Social News XYZ</font>",
"Cyclone Fengal Live Tracker: Deep depression to intensify; schools shut, Chennai power outage to last up to 5 hours - Moneycontrol",https://news.google.com/rss/articles/CBMi-wFBVV95cUxPSU9UOXMxd3BzVS1ZMmtGWi1nakxJaHlySElYNzNqc1RqSFhOTzBrd0hRcVdfejM3V3VaZUE0andhWVkzN055bm44NU9sanZwZ2N0cXR4OU5kcnNfYXA3bGxEcFZ5RXlVdXJZYmR4U1dZMjZvdzBUTkJLWHp1aS1LaUNyNUpackFJa1dmV21EMnNNWUJmcjRCXy1uWkEyTjFoY3N1SzdHQ0Q5dnZ3RGhaMzZYV0ZKZW40Ujh0c01zMXV0elEtMDZXLW1ZTk50RFBJd3EwZXNpZEZzOGxMNkNpVVRLcjlTUHVRT1ZIdEkxVHduUnlBbzE4TzFYRdIBgAJBVV95cUxOUFBXanZKWjRCVmFFRW1YT2kzSGtfSktpOVF2RHNnZXRXZEZoa0lWbk5wVUNTell3MnlPUGNKSDU4MFNuUnFvX3Yzcll0RnlfUGsybUl5WFAxTHBIOUNVMTNtQkRpd1UzUUhRSXh2dEgzRjJpS24zZXdibjRwVVZ4NnlpT3Jac2FweXhHUWdSSU14NGVVQXdvV1pUZGpsdEhHUnFUZW03QW55N25TME4tZG94dkxBcWZKYWtqaUtXak01UTB0Q2J4ZlhMU3FQSnlZQ2JZRUU5Ml8zdGFjeGNFYlBWaHU2blhSWHRkeWhhRW1KVWQ3Tjl4NlFUTU04NDF4?oc=5,2024-11-27 09:43:21,Moneycontrol,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPSU9UOXMxd3BzVS1ZMmtGWi1nakxJaHlySElYNzNqc1RqSFhOTzBrd0hRcVdfejM3V3VaZUE0andhWVkzN055bm44NU9sanZwZ2N0cXR4OU5kcnNfYXA3bGxEcFZ5RXlVdXJZYmR4U1dZMjZvdzBUTkJLWHp1aS1LaUNyNUpackFJa1dmV21EMnNNWUJmcjRCXy1uWkEyTjFoY3N1SzdHQ0Q5dnZ3RGhaMzZYV0ZKZW40Ujh0c01zMXV0elEtMDZXLW1ZTk50RFBJd3EwZXNpZEZzOGxMNkNpVVRLcjlTUHVRT1ZIdEkxVHduUnlBbzE4TzFYRdIBgAJBVV95cUxOUFBXanZKWjRCVmFFRW1YT2kzSGtfSktpOVF2RHNnZXRXZEZoa0lWbk5wVUNTell3MnlPUGNKSDU4MFNuUnFvX3Yzcll0RnlfUGsybUl5WFAxTHBIOUNVMTNtQkRpd1UzUUhRSXh2dEgzRjJpS24zZXdibjRwVVZ4NnlpT3Jac2FweXhHUWdSSU14NGVVQXdvV1pUZGpsdEhHUnFUZW03QW55N25TME4tZG94dkxBcWZKYWtqaUtXak01UTB0Q2J4ZlhMU3FQSnlZQ2JZRUU5Ml8zdGFjeGNFYlBWaHU2blhSWHRkeWhhRW1KVWQ3Tjl4NlFUTU04NDF4?oc=5"" target=""_blank"">Cyclone Fengal Live Tracker: Deep depression to intensify; schools shut, Chennai power outage to last up to 5 hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol</font>",
"Orange alert for Chennai, surrounding districts till Thursday - The New Indian Express",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPTkVwYjFlSThsY1FQU1ZQSjFxVTBVUDV2blhYOE5VQ1VPR2ltQnV4ckNlVXNMSDNiZHRQbXVrVVBiT0paN25hZGVpRzlHWDN5YkZYWHA0YTRVSXhCd1pDV0lJTkVTMWQ5RDJVM2pXdDJiVnZpUDVUT180SHRFNDBHYnBSb0I2QmlRUVZXS2N2N2dSNUp1S04zZU9CSzMzZTlwcmQ2azdCYTRJYkVtV1I2RG9xWHRYaWJ5eEJuZF9uU3XSAc4BQVVfeXFMUFJZdHVqeWVqMEdmb3VRa0Y2alhrdmV6SldoRDFvRVpvbU9vOU1CVEQ4M1dWamFEcjRqelNNQXcwRmF0ZTdnSUR6d0cwWjNmbENWY1IzcV9kZTBiU2Nya1NXa0pjS2JoMXpvZEhabWdZbmlBdUw4Qk5xR2E0aFFsUXZDOXJITkdvb0o3TTh0aU9aMFMtbDhqRFlvNGZoQmRqQ25IejlKUWlIc1FURDdZVHZjRTBfZlFUcDFFUUNWQUdadXVYWGFRV2RsX1pieXc?oc=5,2024-11-26 15:56:26,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPTkVwYjFlSThsY1FQU1ZQSjFxVTBVUDV2blhYOE5VQ1VPR2ltQnV4ckNlVXNMSDNiZHRQbXVrVVBiT0paN25hZGVpRzlHWDN5YkZYWHA0YTRVSXhCd1pDV0lJTkVTMWQ5RDJVM2pXdDJiVnZpUDVUT180SHRFNDBHYnBSb0I2QmlRUVZXS2N2N2dSNUp1S04zZU9CSzMzZTlwcmQ2azdCYTRJYkVtV1I2RG9xWHRYaWJ5eEJuZF9uU3XSAc4BQVVfeXFMUFJZdHVqeWVqMEdmb3VRa0Y2alhrdmV6SldoRDFvRVpvbU9vOU1CVEQ4M1dWamFEcjRqelNNQXcwRmF0ZTdnSUR6d0cwWjNmbENWY1IzcV9kZTBiU2Nya1NXa0pjS2JoMXpvZEhabWdZbmlBdUw4Qk5xR2E0aFFsUXZDOXJITkdvb0o3TTh0aU9aMFMtbDhqRFlvNGZoQmRqQ25IejlKUWlIc1FURDdZVHZjRTBfZlFUcDFFUUNWQUdadXVYWGFRV2RsX1pieXc?oc=5"" target=""_blank"">Orange alert for Chennai, surrounding districts till Thursday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
"Heavy rains forecast: Holiday for Chennai, Kancheepuram and Chengalpattu schools on Nov 27 - DTNEXT",https://news.google.com/rss/articles/CBMiswFBVV95cUxPWElBZFRnMUp4a1hfeG0yaUtkdEx3ZWNIN0NiMTlCcEkyWGZZcncwaXZ4V3BhTTg1UXhLVzczN0o0cEVXYlotV3N4TFRqa3ZIZE1rSXhSdk1qVDZOS1VNQjVZXzRfSTdJYUFJUlJ6X3ZfOVlZdnExVkJyQ1VORzk5a01aQVhtVmpxclFBdFdBX2FKT0xIVnZxM2FCZjg2aVhjQXNoRlMxdHcyeWJpWG93aldzZ9IBuAFBVV95cUxNczluUUo4dnBPakJMcV9yWWNhazczNGZLcDI4ZlNiN1NtRVFnUkZ3NEpEQjZhNG9fa3NKNV9hdTkwX1lsaWZmNWZIMmRnMHdkUXBCWjRzVm5FUlA5bnNlTEo0Yk8ybHRwQjRaV1Bwc1lVQmJieVF5bjZYSGxPZS1MNmRHNXM5QzNwcFQyTFFueGxQSXd0a1FwRDZfLTJvYTdQWFdibGlBa2cxZUpEVGhWZ2szaW5rd2N2?oc=5,2024-11-26 21:41:33,DTNEXT,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxPWElBZFRnMUp4a1hfeG0yaUtkdEx3ZWNIN0NiMTlCcEkyWGZZcncwaXZ4V3BhTTg1UXhLVzczN0o0cEVXYlotV3N4TFRqa3ZIZE1rSXhSdk1qVDZOS1VNQjVZXzRfSTdJYUFJUlJ6X3ZfOVlZdnExVkJyQ1VORzk5a01aQVhtVmpxclFBdFdBX2FKT0xIVnZxM2FCZjg2aVhjQXNoRlMxdHcyeWJpWG93aldzZ9IBuAFBVV95cUxNczluUUo4dnBPakJMcV9yWWNhazczNGZLcDI4ZlNiN1NtRVFnUkZ3NEpEQjZhNG9fa3NKNV9hdTkwX1lsaWZmNWZIMmRnMHdkUXBCWjRzVm5FUlA5bnNlTEo0Yk8ybHRwQjRaV1Bwc1lVQmJieVF5bjZYSGxPZS1MNmRHNXM5QzNwcFQyTFFueGxQSXd0a1FwRDZfLTJvYTdQWFdibGlBa2cxZUpEVGhWZ2szaW5rd2N2?oc=5"" target=""_blank"">Heavy rains forecast: Holiday for Chennai, Kancheepuram and Chengalpattu schools on Nov 27</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DTNEXT</font>",
"Tamil Nadu Chennai Rains, Weather Today LIVE Updates: Rain lashes several parts of Tamil Nadu, cyclonic storm brewing over Bay of Bengal - The Indian Express",https://news.google.com/rss/articles/CBMivAFBVV95cUxPOXdMUEdwSWJOVktKMzdYZzl0c1lZMGFMRUYxTE5VT2VlYlRPclg1SFpYQ2VaN1hDcmhYQ0tSWTR3OWplTHNraWFXLUYzbHlDdWUwSDNjdGhoM0JNdjhUYy1CWFhQTFdGdV9felQ0YVpXRHVPQ0prb1F3QWlqY25LMEpZbUxCWHFXZ1g4VUc4ZUxSdF9SV2JmS0Y2clNPMUEzQ1NtZG1VVm1kQURET2JFa295V3YxMm40ZzN2ctIBwwFBVV95cUxOV3BYQnJDRkFTLU5nSmhScWZrYm54TTBWMzJTb0g0ZHhueGRMWklnVUQxeG0wYm9BNFQzNnlUUXBiSkVMOHFEX2tLQzUzWllPbzlWdkJWd3MtRzFTVXlfM3F5MjJqRno2VjRLSEF5SHdZRTNVVEFXdVhseU0wNWZQTGVfeVdvWW8wYTIwN3U3RE5HOVBmb1daY1Q3ZGwzWlM4Y25sRGoweUVHbVRfTGNaWHpLMWhvRUZITUJzZmZlejJpQmM?oc=5,2024-11-26 20:16:36,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPOXdMUEdwSWJOVktKMzdYZzl0c1lZMGFMRUYxTE5VT2VlYlRPclg1SFpYQ2VaN1hDcmhYQ0tSWTR3OWplTHNraWFXLUYzbHlDdWUwSDNjdGhoM0JNdjhUYy1CWFhQTFdGdV9felQ0YVpXRHVPQ0prb1F3QWlqY25LMEpZbUxCWHFXZ1g4VUc4ZUxSdF9SV2JmS0Y2clNPMUEzQ1NtZG1VVm1kQURET2JFa295V3YxMm40ZzN2ctIBwwFBVV95cUxOV3BYQnJDRkFTLU5nSmhScWZrYm54TTBWMzJTb0g0ZHhueGRMWklnVUQxeG0wYm9BNFQzNnlUUXBiSkVMOHFEX2tLQzUzWllPbzlWdkJWd3MtRzFTVXlfM3F5MjJqRno2VjRLSEF5SHdZRTNVVEFXdVhseU0wNWZQTGVfeVdvWW8wYTIwN3U3RE5HOVBmb1daY1Q3ZGwzWlM4Y25sRGoweUVHbVRfTGNaWHpLMWhvRUZITUJzZmZlejJpQmM?oc=5"" target=""_blank"">Tamil Nadu Chennai Rains, Weather Today LIVE Updates: Rain lashes several parts of Tamil Nadu, cyclonic storm brewing over Bay of Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
"IMD Update: Depression forms over Bay of Bengal, Puducherry, Chennai - BusinessLine",https://news.google.com/rss/articles/CBMi4wFBVV95cUxQdEEwUVZGX2s3NnZ5cnltYnpveFE0TXV2ZUlwR1F1ZXhRUkNvSWVvOEQ2OWFTaE1VOTVDblBfdU5WblU5YUsxajdJMVZlck1uSTN1ZWk3SGp4eGs1OE1zVTRQNUtYMENvRmRaUWhTTXZpaFlwUFYxTWI2QjAwRVFybmt6dUc3M1M3Y1g4OUNlVVZkc0RhNnllQkJWMXFqU3pKUmZPSFFabkhpcUFiNDIyR3NINnFBT1NLUmJ6QWtyOU42SU41dk9GWVhWQWtSSjBvOVp6cC15NVd5ZHNOYTR2bGl3d9IB6gFBVV95cUxQSkY0NzdfZGx1ZGFEaXl6bm9mdGl2MFNiX1dTWW5fR1RPdXVFdC1IaEV4c2dYUGpxczlVNE1OZmYzeTI3MkxRcXVVSHA3N2pFR2V4M1phM0NyenY1eTd6ZjhEbms0RlZ5Ymgxek1ENElSbHlhTGdUelNWWWs1QUphR2Ytbzg0S0FVYVFJQ1FIbDdpaHl5cl9OZkZSSjA1ekY1V0ZtcFFTTXdWVWl6M3lmVWVfZlQ0aW54Sk9FSjV3dGotdm1iMVpPSjJ3bi1EeGQxWjY5UGtsZTg2SVVLaXBIYUl3YTBuNnQzM3c?oc=5,2024-11-26 15:48:45,BusinessLine,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxQdEEwUVZGX2s3NnZ5cnltYnpveFE0TXV2ZUlwR1F1ZXhRUkNvSWVvOEQ2OWFTaE1VOTVDblBfdU5WblU5YUsxajdJMVZlck1uSTN1ZWk3SGp4eGs1OE1zVTRQNUtYMENvRmRaUWhTTXZpaFlwUFYxTWI2QjAwRVFybmt6dUc3M1M3Y1g4OUNlVVZkc0RhNnllQkJWMXFqU3pKUmZPSFFabkhpcUFiNDIyR3NINnFBT1NLUmJ6QWtyOU42SU41dk9GWVhWQWtSSjBvOVp6cC15NVd5ZHNOYTR2bGl3d9IB6gFBVV95cUxQSkY0NzdfZGx1ZGFEaXl6bm9mdGl2MFNiX1dTWW5fR1RPdXVFdC1IaEV4c2dYUGpxczlVNE1OZmYzeTI3MkxRcXVVSHA3N2pFR2V4M1phM0NyenY1eTd6ZjhEbms0RlZ5Ymgxek1ENElSbHlhTGdUelNWWWs1QUphR2Ytbzg0S0FVYVFJQ1FIbDdpaHl5cl9OZkZSSjA1ekY1V0ZtcFFTTXdWVWl6M3lmVWVfZlQ0aW54Sk9FSjV3dGotdm1iMVpPSjJ3bi1EeGQxWjY5UGtsZTg2SVVLaXBIYUl3YTBuNnQzM3c?oc=5"" target=""_blank"">IMD Update: Depression forms over Bay of Bengal, Puducherry, Chennai</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font>",
Schools shut in delta districts following rains - News Today,https://news.google.com/rss/articles/CBMijAFBVV95cUxPRW84cWpwZmR4eTdzZG5INWlMWE1GQ0h6ZnVjYUlyY3hQMFlLOS1IaUR1S2hzRm0tMDZHV041RXU2eTNYUzI0T2ZzSGdGNnZtRDdFenJQUUhtTC1NQ2pSaWNDZGxWR3drM2ttMjktdjkzRDFkTmIxRnJQcWZJSU56eGpuNGszaE5CUjBfUQ?oc=5,2024-11-26 14:35:20,News Today,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPRW84cWpwZmR4eTdzZG5INWlMWE1GQ0h6ZnVjYUlyY3hQMFlLOS1IaUR1S2hzRm0tMDZHV041RXU2eTNYUzI0T2ZzSGdGNnZtRDdFenJQUUhtTC1NQ2pSaWNDZGxWR3drM2ttMjktdjkzRDFkTmIxRnJQcWZJSU56eGpuNGszaE5CUjBfUQ?oc=5"" target=""_blank"">Schools shut in delta districts following rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News Today</font>",
